id,Tags,Mis1,Mis2,Mis3,Mis4,Mis5
298,конкурс,,,,,
299,ad,AD,Ad,d,a,sad
300,family,family,,,,
301,blessed,blessed,blissed,blesses,bless ed,
302,hulusellouts,sellouts,sellout,houselights,pullouts,hulusellouts
303,legend,legend,legends,leg end,,
304,finalfour,final four,finalize,finalist,finality,finalization
305,ad,AD,Ad,d,a,sad
306,tbt,tit,tat,tot,tut,tbs
307,everybodyeats,everybody eats,everybody,everydayness,everyones,everyplace
308,nbatv,sunbath,NBA,native,baton,nbatv
309,reform,reform,preform,reforms,deform,re form
310,onelastdance,nonelastic,nonattendance,elastodynamics,overabundance,onelastdance
311,menhaveskintoo,menhaveskintoo,,,,
312,ripcity,rip city,ripcord,rapacity,rusticity,reciprocity
313,atuttomotore,automotive,servomotor,vasomotor,automorphism,atuttomotore
314,lockedin,locked in,locked,Lockean,locket,locker
315,nbaplayoffs,playoffs,layoffs,playoff,payoffs,nbaplayoffs
316,grinddaily,grind daily,grindingly,grindstone,grinding,grinningly
317,onegoal,one goal,Onega,Onegin,Oneal,oneself
318,nationalpetday,nationalized,nationalistically,nationalistic,nationalizer,nationalpetday
319,puremagic,pure magic,pureeing,puritanic,demagogic,premature
320,50winseason,nonseasonal,unseasonal,seasonality,seasoning,50winseason
321,indybound,inbounds,inbound,hidebound,icebound,indybound
322,overachievingh2o,overachieve,underachiever,overarching,underachieve,overachievingh2o
323,nba,NBA,nab,ban,Eba,nba
324,heisrisennbagreens,heisrisennbagreens,,,,
325,chunkzzz,chunkiness,chunky,chunk,chuntering,chunkzzz
326,jerebko,Jeremie,Jeremias,Jeremy,Jereme,jerebko
327,woke,woe,wok,awoke,woken,toke
328,onelastdance,nonelastic,nonattendance,elastodynamics,overabundance,onelastdance
329,lovemebeforetheyalldo,lovemebeforetheyalldo,,,,
330,twotimecoachoftheyear,twotimecoachoftheyear,,,,
331,blessed,blessed,blissed,blesses,bless ed,
332,snake,Snake,sake,snakes,snaked,sneak
333,striveforgreatness,straightforwardness,greatness,demonstrativenesses,demonstrativeness,striveforgreatness
334,lucmbahamoute,lucmbahamoute,,,,
335,restinpeace,restiveness,restitution,Greenpeace,restrained,restinpeace
336,atlantis,Atlantis,atlantes,atlantis,,
337,legends,legends,legend,legend's,leg ends,legend s
338,basketball,basketball,basketballs,basket ball,,
339,goat,oat,got,groat,gloat,goats
340,firstlook,first look,firstborn,firsthand,first,Firestone
341,ripnipsey,ripenesses,ripeness,riposte,ripened,ripnipsey
342,veryhungry,very hungry,everything,hungry,overhung,hungrily
343,letsgo,lets go,Letisha,letdown,letting,lethargy
344,наставник,,,,,
345,badboysforlife,badboysforlife,,,,
346,spurs,spoors,spurs,spur,spurns,spurts
347,brotherhood,brotherhood,brotherhoods,brother hood,,
348,staytuned,stay tuned,staunched,stayed,statued,stained
349,nbachamp,Beauchamps,champion,champaign,Champlain,nbachamp
