likes,comments,caption,mediaid,hashtag,Game_name,post_hashtag_id
32783,260,"Double the Z-Moves, double the power! 👊💥👊 Ash and Pikachu team up with Dia and Zeraora to battle the menacing Ultra Beast, Guzzlord. Will their combined forces be enough to save (parallel) Alola?

Find out on the next episode of #PokemonTheSeries: Sun & Moon—Ultra Legends, airing each week on @disneyxd!",2.01561E+14,['pokemontheseries'],POKEMON,24
80546,8886,"Pikachu is…having a moment. 😂 
Which Pikachu are you today? Let us know in the comments, Trainers!",2.01555E+14,[],POKEMON,25
42064,175,"⭐ Lights
📽 Camera
⚡#DetectivePikachu

Follow the link in our bio to investigate. 🔎",2.01545E+14,['detectivepikachu'],POKEMON,26
47231,244,"Roll into the theaters like a resident of Ryme City! 
We've got a lead on all kinds of goods inspired by the locations in #DetectivePikachu, available now in the #PokemonCenter!

Tap the link in our bio to gear up for the premiere, US Trainers! 🔎⚡️",2.0135E+14,['detectivepikachu',POKEMON,27
47231,244,"Roll into the theaters like a resident of Ryme City! 
We've got a lead on all kinds of goods inspired by the locations in #DetectivePikachu, available now in the #PokemonCenter!

Tap the link in our bio to gear up for the premiere, US Trainers! 🔎⚡️",2.0135E+14, 'pokemoncenter'],POKEMON,28
40924,349,"An unannounced special guest arrives in the middle of the Pokémon School’s play. Did you watch the reveal of this mysterious new actress? 😉

Don’t miss a second of #PokemonTheSeries: Sun & Moon—Ultra Legends on @DisneyXD each week! 
#WatchPokemon",2.01345E+14,['pokemontheseries',POKEMON,29
40924,349,"An unannounced special guest arrives in the middle of the Pokémon School’s play. Did you watch the reveal of this mysterious new actress? 😉

Don’t miss a second of #PokemonTheSeries: Sun & Moon—Ultra Legends on @DisneyXD each week! 
#WatchPokemon",2.01345E+14, 'watchpokemon'],POKEMON,30
56650,735,Flying into a new week like…,2.01191E+14,[],POKEMON,31
101947,865,"We hope you get lots of rest this weekend, Trainers! 💤",2.0111E+14,[],POKEMON,32
37451,252,"It is said that on extremely rare occasions, Roselia will grow flowers in unusual colors! 🌻",2.01052E+14,[],POKEMON,33
34342,112,"How are you doing in the #PokemonDuel Team Match event, Trainers? 
Don’t miss your chance to snag [EX] Salamence—its Ability will help you blaze past your opponents! 🔥🔥🔥 Tap the link in our bio to learn more about this new figure!",2.01045E+14,['pokemonduel'],POKEMON,34
27470,146,"Find a garden and you may also find Florges! This Pokémon gains strength from the energy emitted by flowering plants, so make sure you keep your gardens in top shape! 🌸🌿",2.00977E+14,[],POKEMON,35
62000,559,"Dress up and get down with stylish Mr. Mime aesthetics. 📼🌙🌴 Get ready to bust a move, US Trainers—the Mr. Mime Dance Time collection is only available at the #PokemonCenter. Peep the link in the bio for more details!",2.00909E+14,['pokemoncenter'],POKEMON,36
48152,306,Shaymin can instantly transform ruined land into a lush field of flowers by dissolving toxins in the air! 🌸,2.009E+14,[],POKEMON,37
32229,175,"Comfey, Comfey, how does your garden grow? Well...it doesn't! Comfey actually picks flowers in the wild and attaches them to its vine, which is full of nutrients! 💐",2.00832E+14,[],POKEMON,38
35741,211,Lilligant is a very high-maintenance Pokémon—even experienced Trainers struggle to get its flower to bloom! 🌹,2.00765E+14,[],POKEMON,39
31458,208,"Flabébé may be only four inches tall, but don't underestimate it! This Pokémon has the amazing ability to control the hidden power of flowers. 🌷",2.00687E+14,[],POKEMON,40
44830,358,Vileplume are known for having the largest petals in the world—an impressive addition to any Pokémon bouquet! 🌺,2.00615E+14,[],POKEMON,41
42831,236,"This Pokémon has a stinky secret! 😲 It is said that a Bellossom’s flowers are the most beautiful when it has been evolved from a smelly Gloom—the stinkier, the better!",2.00542E+14,[],POKEMON,42
28634,181,"Rise to the challenge, US Trainers: #PokemonTheSeries: Sun & Moon—Ultra Legends premieres tomorrow on @DisneyXD! 
Watch along with us tomorrow morning at 9am ET, and use #PokemonLiveTweet to join the fun! 🍿⚡",2.00537E+14,['pokemontheseries',POKEMON,43
28634,181,"Rise to the challenge, US Trainers: #PokemonTheSeries: Sun & Moon—Ultra Legends premieres tomorrow on @DisneyXD! 
Watch along with us tomorrow morning at 9am ET, and use #PokemonLiveTweet to join the fun! 🍿⚡",2.00537E+14, 'pokemonlivetweet'],POKEMON,44
86979,750,Just thinking about this Squirtle on the #FirstDayofSpring 🌸,2.00408E+14,['firstdayofspring'],POKEMON,45
68338,900,"With warmer weather on the way, these Pokémon are in full bloom! We've gathered some elegant floral Pokémon to help us celebrate the #FirstDayOfSpring. 🌷 Which is your favorite?",2.00401E+14,['firstdayofspring'],POKEMON,46
30832,157,These TAG TEAM Pokémon-GX duos have all the battle power you need. 👊💥 They’re ready for battle—are you?,2.00254E+14,[],POKEMON,47
81839,288,"Grab your detective hat and magnifying glass, Trainers! We’re investigating the set of POKÉMON Detective Pikachu, and you’re invited. Follow the link in our bio to help us crack the clues as we gear up for the big-screen premiere! 🔎⚡ #DetectivePikachu",2.00249E+14,['detectivepikachu'],POKEMON,48
34995,161,"⚡ Trainers, are you ready for an electrifying duo like no other? ⚡

Charge up your deck with Pikachu & Zekrom, only in #PokemonTCG: Sun & Moon—Team Up! The link in our bio has all the info you need.",2.00181E+14,['pokemontcg'],POKEMON,49
37333,199,"The mini Magikarp and the enormous Wailord make a big splash! 🌊

No need for Net Balls, Trainers—catch this Water-type duo together in #PokemonTCG: Sun & Moon—Team Up. Follow the link in our bio to turn the tide of battle with this TAG TEAM Pokémon-GX!",2.00107E+14,['pokemontcg'],POKEMON,50
52289,1043,"Rise to the challenge, Trainers! Check out the theme song for #PokemonTheSeries: Sun & Moon—Ultra Legends. 🎶

Get ready to sing along, and don’t miss the premiere Saturday, March 23, on @disneyxd ☀️🌴",2.00102E+14,['pokemontheseries'],POKEMON,51
41506,165,Why have one Legendary Pokémon when you could have 2️⃣? The mighty TAG TEAM Latias & Latios-GX is delivering Knock Out blows left and right! A fabled team that’s one for the books—this TAG TEAM will sweep you off your feet. Details? Bio. #PokemonTCG,2.00035E+14,['pokemontcg'],POKEMON,52
43049,237,"A mysterious new TAG TEAM Pokémon-GX is on the haunt. 👻

The shadowy Gengar and the mischievous Mimikyu leave opponents spooked in their wake! Follow the link in our bio to scare opponents into submission with this eerie pair. #PokemonTCG",1.99963E+14,['pokemontcg'],POKEMON,53
87651,468,"Aww…turn that frown upside down, Pikachu! ☔ US Trainers: Grab your umbrellas! You’ll soon be able to bring the latest Pokémon figure from the A Day with Pikachu collection in from the rain. Follow the link in our bio to learn how.",1.99828E+14,[],POKEMON,54
46978,201,"Get ready, Trainers—you’re on their turf now! 🍃 
The Grass-type duo Celebi & Venusaur combine their powers as an amazing pair in #PokemonTCG: Sun & Moon—Team Up. Follow the link in our bio to grow your deck’s strength!",1.99824E+14,['pokemontcg'],POKEMON,55
33575,276,"Weird face, but OK. 😂

Want to see some of the wildest takes from last season on #PokemonTheSeries? Hit the link in our bio!",1.9982E+14,['pokemontheseries'],POKEMON,56
54982,284,"Strong duos come in all shapes and sizes in #PokemonTCG: Sun & Moon—Team Up. Cute Eevee and sleepy Snorlax join forces on a powerful card that can smash the competition! 
Follow the link in our bio to give this dynamic duo a shot. 💥",1.99747E+14,['pokemontcg'],POKEMON,57
40098,551,"Lillie’s transformation into a caring, confident Trainer shows that there is courage in all of us—even if we have to search to find it. 🌟

Lillie is just one of many inspiring Trainers in the world of Pokémon! Who do you look up to the most?",1.99531E+14,[],POKEMON,58
78385,375,"Make room on your shelves for Pikachu! US Trainers: If you missed your chance to catch the first in our line of seasonal Pikachu figures, you’re in luck! 🍀 
More festive Pikachu have arrived at the #PokemonCenter—but they won’t be here for long! 
Follow the link in our bio to bring yours home today.",1.99527E+14,['pokemoncenter'],POKEMON,59
43520,1783,"Catch them if you can—the next Pokémon from Pokémon TCG: Detective Pikachu are on the run! 
Take a screenshot and use the hashtag #DetectivePikachu to show us which suspect you’ve captured! 🔎⚡️",1.99367E+14,['detectivepikachu'],POKEMON,60
23727,798,"It’s time for your last quiz of the day, Trainers! 
Whether you’ve seen one episode or one thousand, we want to know about your favorite parts of #PokemonTheSeries! 📺

#PokemonDay",1.98888E+14,['pokemontheseries',POKEMON,61
23727,798,"It’s time for your last quiz of the day, Trainers! 
Whether you’ve seen one episode or one thousand, we want to know about your favorite parts of #PokemonTheSeries! 📺

#PokemonDay",1.98888E+14, 'pokemonday'],POKEMON,62
18256,171,"It’s time for your next pop quiz! 
Dig out your decks and tell us about your #PokemonTCG collection, Trainers! 
#PokemonDay",1.98885E+14,['pokemontcg',POKEMON,63
18256,171,"It’s time for your next pop quiz! 
Dig out your decks and tell us about your #PokemonTCG collection, Trainers! 
#PokemonDay",1.98885E+14, 'pokemonday'],POKEMON,64
41612,2891,"Stay on your toes, Trainers—we'’ll be quizzing you all day!

Fill out your answers to share your favorite Pokémon video game memories with us! 🎮 
#PokemonDay",1.98882E+14,['pokemonday'],POKEMON,65
113631,1316,"Today, Trainers around the world prepared for an all-new adventure with the announcement of #PokemonSwordShield! ⚔️🛡️ In honor of #PokemonDay, we’re taking a look back at some of our favorite scenes from previous Pokémon video game titles. How many do you remember? ➡️🎮",1.98875E+14,['pokemonswordshield',POKEMON,66
113631,1316,"Today, Trainers around the world prepared for an all-new adventure with the announcement of #PokemonSwordShield! ⚔️🛡️ In honor of #PokemonDay, we’re taking a look back at some of our favorite scenes from previous Pokémon video game titles. How many do you remember? ➡️🎮",1.98875E+14, 'pokemonday'],POKEMON,67
156249,2672,"Last but not least: Sobble, the Water Lizard Pokémon! 💧 
Sobble is a bit timid, shooting out attacks as it hides itself in the water. 
#PokemonSwordShield",1.9886E+14,['pokemonswordshield'],POKEMON,68
132642,2173,"Next up is Scorbunny, the Rabbit Pokémon! 🔥

Scorbunny is always running about, bursting with energy. 
#PokemonSwordShield",1.9886E+14,['pokemonswordshield'],POKEMON,69
132908,2145,"Meet Grookey, the Chimp Pokémon! 🍃 
This mischievous Pokémon is full of boundless curiosity. 
#PokemonSwordShield",1.9886E+14,['pokemonswordshield'],POKEMON,70
328989,12111,"Unsheathe your sword and take up your shield! ⚔ 🛡

The world of Pokémon expands to include the Galar region in Pokémon Sword and Pokémon Shield, coming in late 2019! Tap the link in our bio to learn more about your upcoming adventure, Trainers. 
#PokemonSwordShield",1.98859E+14,['pokemonswordshield'],POKEMON,71
74615,2995,"There’s no better place to escape the winter cold than the sunny Alola region with Rowlet, Litten, and Popplio! ☀ 
Leave a 🍃, 🔥, or 💧 below to let us know which Pokémon was by your side during your Alolan adventure! #PokemonDay",1.98805E+14,['pokemonday'],POKEMON,72
42005,797,"With five unique islands to visit, it’s no wonder the lively Alola region is a popular tourist destination! ⛱️ Delicious malasadas and exciting games of Pokémon Base keep visitors coming back year after year!

Which region should we visit next, Trainers? #PokemonDay",1.98803E+14,['pokemonday'],POKEMON,73
99423,1839,"You’re going to need more than a Master Ball to catch this coffee-drinking, one-of-a-kind Pikachu this summer, Trainers!
POKÉMON Detective Pikachu hits theaters summer 2019. #DetectivePikachu",1.98796E+14,['detectivepikachu'],POKEMON,74
127814,1059,"Welcome to Ryme City, home to the toughest-talking Pikachu around! Can you spot all of the Pokémon hiding in this poster? 👀
Get ready to start sleuthing—there’s a brand-new trailer for #DetectivePikachu dropping later this morning! 🔎⚡",1.98793E+14,['detectivepikachu'],POKEMON,75
152299,4721,"These are all the details you’re getting...until tomorrow. 😉

Set your alarms, Trainers—you don’t want to miss this Pokémon Day! ⏰ #PokemonDirect",1.98785E+14,['pokemondirect'],POKEMON,76
58371,1742,"Next stop: the Kalos region! Chespin, Fennekin, and Froakie are some of the first Pokémon you meet in this bustling region. Who did you choose as your starter Pokémon? 🍃🔥💧 #PokemonDay",1.98744E+14,['pokemonday'],POKEMON,77
71585,480,"This handmade Squirtle is stitched to perfection! 😍 Thanks for sharing your talents with us, Trainer Jesse!",1.9874E+14,[],POKEMON,78
39776,817,"Known for high-end shops and fine dining, Kalos puts you in the lap of luxury! ✨ This region is also home to a variety of high-stakes entertainment, like Pokémon Styling and Sky Battles!

Not a bad place to spend #PokemonDay! Tag a friend you’d like to take along on an extravagant Kalos vacation!",1.98725E+14,['pokemonday'],POKEMON,79
67652,2790,"Sound off, Trainers: did you begin your Pokémon journey in the Unova region with Snivy, Tepig, or Oshawott? 🍃🔥💧 #PokemonDay",1.98679E+14,['pokemonday'],POKEMON,80
38251,977,"Visit the urban utopia of Unova! Put your team to the test at Don George’s Battle Club or simply stroll the city streets with a delicious Casteliacone! 💥 Let us know which Pokémon you’d train at the Battle Club, and challenge a friend to a match in the comments! #PokemonDay",1.98664E+14,['pokemonday'],POKEMON,81
86288,2950,"Sinnoh Pokémon confirmed. 😉 There’s nothing like exploring the expansive Sinnoh region with Turtwig, Chimchar, and Piplup! Which Pokémon did you pick? 🍃🔥💧 #PokemonDay",1.98591E+14,['pokemonday'],POKEMON,82
44287,1298,"Set your sights on Sinnoh, nature lovers! This region is beloved for its cooler climates and majestic mountains. 🏔️ Prefer the great indoors? Learn something new at Professor Rowan’s Pokémon Academy!

If you were celebrating Pokémon Day in the Sinnoh region, what would you choose to do first? 
#PokemonDay",1.98586E+14,['pokemonday'],POKEMON,83
82248,3449,"Looks like we’ve made it to the Hoenn region, Trainers—Treecko, Torchic, and Mudkip are here to celebrate! Leave a 🍃, 🔥, or 💧 below to let us know which of these three Pokémon helped you begin your Hoenn region journey! #PokemonDay",1.98534E+14,['pokemonday'],POKEMON,84
35198,529,"Hoenn is a haven for Pokémon competitions! 🏆 From the high-flying PokéRinger tournament to dazzling Pokémon Contests, this region offers excitement for everyone!

Coolness, Beauty, Cleverness, Cuteness, or Toughness—which Contest category would you enter your Pokémon in, Trainers? #PokemonDay",1.98516E+14,['pokemonday'],POKEMON,85
93042,2480,"It’s a whole new place, with a brand-new attitude! 😉 We’re hanging out in Johto with Chikorita, Cyndaquil, and Totodile, Trainers—which of these Pokémon helped you explore this region? 🍃🔥💧 #PokemonDay",1.98454E+14,['pokemonday'],POKEMON,86
39982,781,"Join your friends on a Johto journey! This region is full of secrets, from the ancient Ruins of Alph to the legendary Burned Tower. 
We’re curious, Trainers: which mysterious Johto landmark would you most like to explore? 🔎

#PokemonDay",1.98441E+14,['pokemonday'],POKEMON,87
67909,2038,"Let’s go to colorful Kanto! For many Trainers, Kanto represents the very beginning of their Pokémon journey. For others? It’s a great place to kick back and relax with a jelly-filled donut. 😉

Who would you choose to accompany you on your Pokémon journey? Tag two friends in the comments to let us know! #PokemonDay",1.98386E+14,['pokemonday'],POKEMON,88
90491,3086,"It’s the question that kicked off a phenomenon: Bulbasaur🍃, Charmander🔥, or Squirtle💧? Which starter Pokémon did you choose to journey alongside you in the Kanto region, Trainers? #PokemonDay",1.98383E+14,['pokemonday'],POKEMON,89
22748,275,"It's finally here—an update so massive, it could only be Z-Powered!

Log in to #PokemonDuel for new Z-Moves, figures, and features!

Follow the link in our bio for all the details. 💥",1.97994E+14,['pokemonduel'],POKEMON,90
34979,208,"This Pokémon likes long, moonlit walks…on water! 🌊

Clefable has a light, bouncy step that allows it to walk across water! Would you take a walk with this Pokémon? #PokemonValentine",1.97877E+14,['pokemonvalentine'],POKEMON,91
50782,572,Did you know that Vulpix starts its life with only one tail? More tails develop as it gets more love from its Trainer— so be sure to give it lots of love and attention! ❤️ #PokemonValentine,1.978E+14,['pokemonvalentine'],POKEMON,92
50818,297,"With #GOsnapshot, taking pictures of your Pokémon is a snap! 😉 
Soon, you’ll be able to take awesome shots of any Pokémon in your Pokémon Storage—not just Pokémon you’re trying to catch. 
Follow the link in our bio if you're ready to work those angles with Pikachu! 📸⚡",1.97774E+14,['gosnapshot'],POKEMON,93
46461,642,Poor Mimikyu! This lonely Pokémon conceals its terrifying appearance beneath an old rag so it can get closer to people and other Pokémon. Would you be friends with Mimikyu? #PokemonValentine,1.97717E+14,['pokemonvalentine'],POKEMON,94
41573,628,"Diancie can create diamonds instantly by compressing the carbon in the air between its hands! 💎 Could come in handy, if you’ve got an important question to ask your #PokemonValentine! Feel free to tag someone who could use a hint. 😉",1.97643E+14,['pokemonvalentine'],POKEMON,95
39343,346,This is so wholesome: Sylveon shows affection for its Trainer by using its ribbonlike feelers to hold hands! 🎀 #PokemonValentine,1.9758E+14,['pokemonvalentine'],POKEMON,96
32783,243,"Rockruff is one of the friendliest Pokémon! Because of this, it’s considered to be a good Pokémon for young Trainers. 
Do you know a tiny Trainer who’d enjoy teaming up with Rockruff? #PokemonValentine",1.97508E+14,['pokemonvalentine'],POKEMON,97
47539,447,"Roses are red, violets are blue, these Pokémon want to celebrate with you! 💐

We’ll be featuring some heartwarming Pokémon facts to help you prepare for Valentine’s Day! 💟 #PokemonValentine",1.97506E+14,['pokemonvalentine'],POKEMON,98
74822,326,"With Pikachu by your side, every day is cause for celebration—right, @originalfunko? 😉 
Mark your calendars, US Trainers: a year’s worth of seasonal Pikachu figures are on their way to the #PokemonCenter! Follow the link in our bio to check out the collection.",1.97345E+14,['pokemoncenter'],POKEMON,99
53639,375,"📦✨🔩 Yes, really. 😉 
Crack open those Mystery Boxes, Trainers - you don't have much time to catch these Shiny Meltan! Hit the link in our bio for details. #PokemonGO",1.97285E+14,['pokemongo'],POKEMON,100
114222,543,"#MondayMotivation? Challenge accepted. 💯 Check out the winners of the @detectivepikachumovie x @talenthouse fan art competition, Trainers! They’re all so good, we can’t pick a favorite…can you? 🔎⚡ #DetectivePikachu",1.9722E+14,['mondaymotivation',POKEMON,101
114222,543,"#MondayMotivation? Challenge accepted. 💯 Check out the winners of the @detectivepikachumovie x @talenthouse fan art competition, Trainers! They’re all so good, we can’t pick a favorite…can you? 🔎⚡ #DetectivePikachu",1.9722E+14, 'detectivepikachu'],POKEMON,102
49459,185,"Zeraora approves of this winning hand! 🏆 
This Alolan Exeggutor-themed deck led #PokemonTCG player Sam to a League Challenge victory! Thanks for sharing this photo with us, Trainer!",1.97129E+14,['pokemontcg'],POKEMON,103
62823,962,The only thing better than one Pikachu... ...is lots of Pikachu! 😍⚡️ How many can you count?,1.97074E+14,[],POKEMON,104
38166,240,"Stick with your #PokemonResolutions all year long, Trainers—we know you’ll achieve something great! 🌟",1.96921E+14,['pokemonresolutions'],POKEMON,105
48882,439,"#WednesdayWisdom: Set a goal for yourself this year, and don’t get discouraged—remember, every Gyarados was once a Magikarp! 💪 #PokemonResolutions",1.96843E+14,['wednesdaywisdom',POKEMON,106
48882,439,"#WednesdayWisdom: Set a goal for yourself this year, and don’t get discouraged—remember, every Gyarados was once a Magikarp! 💪 #PokemonResolutions",1.96843E+14, 'pokemonresolutions'],POKEMON,107
112849,10935,"Everyone's got a favorite Pokémon, but we're curious, Trainers: what's your favorite Poké Ball design? 🤔",1.96702E+14,[],POKEMON,108
111485,728,"These cuties are small enough to sit in the palm of your hand! 😍 
They’re waiting for you at the #PokemonCenter, US Trainers—please protect them at all costs. Follow the link in our bio to bring yours home today!",1.9656E+14,['pokemoncenter'],POKEMON,109
81475,1321,"Which villainous style have you been wearing in #PokemonGO, Trainers? Comment with 💧 or 🔥 to let us know if you’re Team Aqua or Team Magma!",1.9642E+14,['pokemongo'],POKEMON,110
42437,180,"Pokémon Duel is turning 2, and Necrozma is planning a surprise! 
Are you ready for the mysterious Z-Powered Update? Follow the link in our bio for details, then log in for special bonuses during the countdown! #PokemonDuel",1.964E+14,['pokemonduel'],POKEMON,111
35183,261,"Stay focused on your goals, and you’ll slice through the rest of the week, Trainers! #WednesdayWisdom",1.96336E+14,['wednesdaywisdom'],POKEMON,112
101314,1259,"👀 #DetectivePikachu 
@detectivepikachumovie 🔍⚡️",1.96128E+14,['detectivepikachu'],POKEMON,113
79464,659,"You won’t need a detective to help you find these new #PokemonTCG collections, apparel, and toys based on the upcoming #DetectivePikachu movie, Trainers! 
Follow the link in our bio to start sleuthing! 🔍⚡️",1.95888E+14,['pokemontcg',POKEMON,114
79464,659,"You won’t need a detective to help you find these new #PokemonTCG collections, apparel, and toys based on the upcoming #DetectivePikachu movie, Trainers! 
Follow the link in our bio to start sleuthing! 🔍⚡️",1.95888E+14, 'detectivepikachu'],POKEMON,115
189895,2293,⚡️ 1998 vs 2018 ⚡️,1.95768E+14,[],POKEMON,116
40666,1007,"When you’re Ash Ketchum, every day is #NationalHatDay. 😉 Which of Ash’s hats is your favorite?",1.95757E+14,['nationalhatday'],POKEMON,117
49433,342,"💥 Kyogre and Groudon raids return
✨ More Shiny Pokémon
💧🔥Team Aqua and Team Magma gear

Tap the link in our bio to find out how you can celebrate the Hoenn region in a big way, Trainers! #PokemonGO",1.95691E+14,['pokemongo'],POKEMON,118
64795,342,Sunday mood. 😊,1.95618E+14,[],POKEMON,119
78323,493,"💥From over 150 Pokémon spirits to the return of Pichu, Super #SmashBrosUltimate is full of Pokémon references and surprises! 💥 Tap the link in our bio to make sure you’ve found them all!",1.95465E+14,['smashbrosultimate'],POKEMON,120
30715,217,"🚨 Field Research Alert 🚨

Trainers, help Feebas unlock its true potential during a special #PokemonGO Limited Research event on January 19. You might even find a ✨Shiny Feebas! ✨ 
Swim on over to the link in our bio for details.",1.95408E+14,['pokemongo'],POKEMON,121
29072,337,"Don’t be afraid to try something new this year, Trainers! You may discover a hidden talent or a new hobby, like Pokémon Styling! #PokemonResolutions",1.95338E+14,['pokemonresolutions'],POKEMON,122
38344,374,"Get ready to get hatching, Trainers. 🥚

Starting January 2, the #PokemonGO Adventure Sync Hatchathon will help you earn some egg-cellent bonuses while you walk! Tap the link in our bio for more details.",1.94821E+14,['pokemongo'],POKEMON,123
27805,118,"#HappyNewYear, Trainers! Eevee and Pikachu wish you the best in the upcoming year! 🎉",1.94748E+14,['happynewyear'],POKEMON,124
40175,292,"If you meet a Snorunt, you might have a great New Year! 🎉

Some say any home visited by this Pokémon will be blessed with good fortune. #PokemonHolidayCheer ❄️",1.94621E+14,['pokemonholidaycheer'],POKEMON,125
30395,145,"Malasadas, macarons, and Poffins—nothing says #PokemonHolidayCheer like something sweet! 🍰🍬🍭 What’s your favorite holiday treat, Trainers?",1.94601E+14,['pokemonholidaycheer'],POKEMON,126
35909,232,"When Pikachu wraps gifts, Eevee lends a Helping Hand! 😉🎁 Which Pokémon goodies did you receive this year, Trainers? #PokemonHolidayCheer ❄️",1.94375E+14,['pokemonholidaycheer'],POKEMON,127
82568,757,"Pikachu is making a list, and Eevee is checking it twice! 🎶

Tag a friend you think should be on their “Nice” list this year! ⬇️ #PokemonHolidayCheer ❄️",1.94313E+14,['pokemonholidaycheer'],POKEMON,128
46275,159,"Happy holidays, Trainers! #PokemonHolidayCheer",1.94183E+14,['pokemonholidaycheer'],POKEMON,129
77448,466,"Pass the hot chocolate, Trainers: we’re getting into the holiday spirit with your favorite festive episodes, frosty battles, and Ice-type Pokémon on @twitch! 
Who’s ready to watch along? Follow the link in our bio to join the fun!",1.94181E+14,[],POKEMON,130
50762,171,"Eevee and Pikachu are here to help spread #PokemonHolidayCheer! 
Stay tuned for more of their holiday adventures! 🎄⛄️❄️",1.94164E+14,['pokemonholidaycheer'],POKEMON,131
32123,118,"❄️ Let it Snorunt, let it Snorunt, let it Snorunt! ❄️ The holidays aren’t over yet, Trainers! If you’re looking for holiday-themed Pokémon cards, episodes, and minigames, you’ve come to the right place! Hit the link in our bio to get in on all the action! ❄️⛄️❄️ #PokemonHolidayCheer",1.94163E+14,['pokemonholidaycheer'],POKEMON,132
39318,280,"If it's snowing, Articuno may be nearby! It's said that snow falls when this Legendary Pokémon flies. ❄️#PokemonHolidayCheer",1.94093E+14,['pokemonholidaycheer'],POKEMON,133
