,delta,deltaSummary,description,exploreUrl,hotnessColor,hotnessLevel,idForTracking,isNew,peakRankSummary,shareUrl,timePeriodsInChartSummary,title,titleLength,titleLinkUrl,trafficSummary,twitterShareUrlTitle,time
10,0.0,<b>Same rank</b> as last month,"{'description': 'Russell Westbrook III is an American professional basketball player for the Oklahoma City Thunder of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Russell_Westbrook'}",/trends/explore?q=/m/03y9ygn&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Russell Westbrook,False,Peaked at <b>#4</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/03y9ygn,<b>17 months</b> in top 10,Russell Westbrook,17,//www.google.com/search?q=Russell+Westbrook,19,Russell Westbrook #11 in Google Trends Basketball players chart,201802
11,-2.0,<b>-2</b> since last month,"{'description': 'Kevin Wayne Durant is an American professional basketball player for the Golden State Warriors of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kevin_Durant'}",/trends/explore?q=/m/0gxrc1&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Kevin Durant,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0gxrc1,<b>150 months</b> in top 10,Kevin Durant,12,//www.google.com/search?q=Kevin+Durant,17,Kevin Durant #12 in Google Trends Basketball players chart,201802
12,-8.0,<b>-8</b> since last month,"{'description': 'Blake Austin Griffin is an American professional basketball player for the Detroit Pistons of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Blake_Griffin'}",/trends/explore?q=/m/02qhzxp&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Blake Griffin,False,Peaked at <b>#5</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/02qhzxp,<b>12 months</b> in top 10,Blake Griffin,13,//www.google.com/search?q=Blake+Griffin,16,Blake Griffin #13 in Google Trends Basketball players chart,201802
13,-1.0,<b>-1</b> since last month,"{'description': 'James Edward Harden Jr. is an American professional basketball player for the Houston Rockets of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/James_Harden'}",/trends/explore?q=/m/03wbkl5&date=2018-2-1+2018-3-1&geo=US,#feca65,1,James Harden,False,Peaked at <b>#5</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/03wbkl5,<b>19 months</b> in top 10,James Harden,12,//www.google.com/search?q=James+Harden,14,James Harden #14 in Google Trends Basketball players chart,201802
14,-3.0,<b>-3</b> since last month,"{'description': 'Benjamin David Simmons is an Australian professional basketball player for the Philadelphia 76ers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Ben_Simmons'}",/trends/explore?q=/m/0104v5dm&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Ben Simmons,False,Peaked at <b>#9</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0104v5dm,<b>2 months</b> in top 10,Ben Simmons,11,//www.google.com/search?q=Ben+Simmons,13,Ben Simmons #15 in Google Trends Basketball players chart,201802
15,,<b>New</b> in chart,"{'description': 'Jimmy Butler III is an American professional basketball player for the Minnesota Timberwolves of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Jimmy_Butler_(basketball)'}",/trends/explore?q=/m/05n_5s_&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Jimmy Butler,True,Peaked at <b>#8</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/05n_5s_,<b>1 month</b> in top 10,Jimmy Butler,12,//www.google.com/search?q=Jimmy+Butler,13,Jimmy Butler #16 in Google Trends Basketball players chart,201802
16,3.0,<b>+3</b> since last month,"{'description': 'Giannis Antetokounmpo is a Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Giannis_Antetokounmpo'}",/trends/explore?q=/m/0pdnj7h&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Giannis Antetokounmpo,False,,https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0pdnj7h,,Giannis Antetokounmpo,21,//www.google.com/search?q=Giannis+Antetokounmpo,11,Giannis Antetokounmpo #17 in Google Trends Basketball players chart,201802
17,,<b>New</b> in chart,"{'description': 'Kawhi Anthony Leonard is an American professional basketball player for the San Antonio Spurs of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kawhi_Leonard'}",/trends/explore?q=/m/0gh6pc6&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Kawhi Leonard,True,Peaked at <b>#6</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0gh6pc6,<b>1 month</b> in top 10,Kawhi Leonard,13,//www.google.com/search?q=Kawhi+Leonard,10,Kawhi Leonard #18 in Google Trends Basketball players chart,201802
18,,<b>New</b> in chart,"{'description': 'Jordan Taylor Clarkson is a Filipino-American professional basketball player for the Cleveland Cavaliers of the National...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Jordan_Clarkson'}",/trends/explore?q=/m/0w73rsl&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Jordan Clarkson,True,,https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0w73rsl,,Jordan Clarkson,15,//www.google.com/search?q=Jordan+Clarkson,10,Jordan Clarkson #19 in Google Trends Basketball players chart,201802
19,,<b>New</b> in chart,"{'description': 'Larry Donnell Nance Jr. is an American professional basketball player for the Cleveland Cavaliers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Larry_Nance_Jr.'}",/trends/explore?q=/m/0w5bm9k&date=2018-2-1+2018-3-1&geo=US,#feca65,1,Larry Nance Jr.,True,,https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0w5bm9k,,Larry Nance Jr.,15,//www.google.com/search?q=Larry+Nance+Jr.,10,Larry Nance Jr. #20 in Google Trends Basketball players chart,201802
0,0.0,<b>Same rank</b> as last month,"{'description': 'LeBron Raymone James Sr. is an American professional basketball player for the Cleveland Cavaliers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/LeBron_James'}",/trends/explore?q=/m/01jz6d&date=2017-12-1+2018-1-1&geo=US,#d04108,5,LeBron James,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/01jz6d,<b>171 months</b> in top 10,LeBron James,12,//www.google.com/search?q=LeBron+James,100,LeBron James #1 in Google Trends Basketball players chart,201712
1,1.0,<b>+1</b> since last month,"{'description': 'Wardell Stephen Curry II is an American professional basketball player for the Golden State Warriors of the National...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Stephen_Curry'}",/trends/explore?q=/m/0dw15r&date=2017-12-1+2018-1-1&geo=US,#db601e,4,Stephen Curry,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0dw15r,<b>44 months</b> in top 10,Stephen Curry,13,//www.google.com/search?q=Stephen+Curry,61,Stephen Curry #2 in Google Trends Basketball players chart,201712
2,4.0,<b>+4</b> since last month,"{'description': 'Kobe Bean Bryant is an American former professional basketball player. He played his entire 20-year career with the Los...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kobe_Bryant'}",/trends/explore?q=/m/01kmd4&date=2017-12-1+2018-1-1&geo=US,#e68033,3,Kobe Bryant,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/01kmd4,<b>171 months</b> in top 10,Kobe Bryant,11,//www.google.com/search?q=Kobe+Bryant,53,Kobe Bryant #3 in Google Trends Basketball players chart,201712
3,-2.0,<b>-2</b> since last month,"{'description': 'Lonzo Anderson Ball is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Lonzo_Ball'}",/trends/explore?q=Lonzo+Ball&date=2017-12-1+2018-1-1&geo=US,#e68033,3,Lonzo Ball,False,Peaked at <b>#2</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/g/11cm9wsrpr,<b>5 months</b> in top 10,Lonzo Ball,10,//www.google.com/search?q=Lonzo+Ball,52,Lonzo Ball #4 in Google Trends Basketball players chart,201712
4,0.0,<b>Same rank</b> as last month,"{'description': 'Michael Jeffrey Jordan, also known by his initials, MJ, is an American retired professional basketball player who is...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Michael_Jordan'}",/trends/explore?q=/m/054c1&date=2017-12-1+2018-1-1&geo=US,#f0a049,2,Michael Jordan,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/054c1,<b>171 months</b> in top 10,Michael Jordan,14,//www.google.com/search?q=Michael+Jordan,39,Michael Jordan #5 in Google Trends Basketball players chart,201712
5,-2.0,<b>-2</b> since last month,"{'description': 'Kyrie Andrew Irving is an American professional basketball player for the Boston Celtics of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kyrie_Irving'}",/trends/explore?q=/m/0ch52p4&date=2017-12-1+2018-1-1&geo=US,#f0a049,2,Kyrie Irving,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0ch52p4,<b>34 months</b> in top 10,Kyrie Irving,12,//www.google.com/search?q=Kyrie+Irving,37,Kyrie Irving #6 in Google Trends Basketball players chart,201712
6,1.0,<b>+1</b> since last month,"{'description': 'Kevin Wayne Durant is an American professional basketball player for the Golden State Warriors of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kevin_Durant'}",/trends/explore?q=/m/0gxrc1&date=2017-12-1+2018-1-1&geo=US,#f0a049,2,Kevin Durant,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0gxrc1,<b>150 months</b> in top 10,Kevin Durant,12,//www.google.com/search?q=Kevin+Durant,26,Kevin Durant #7 in Google Trends Basketball players chart,201712
7,-2.0,<b>-2</b> since last month,"{'description': 'Shaquille Rashaun O\'Neal, nicknamed ""Shaq"", is an American retired professional basketball player currently serving as a...', 'source': 'Wikipedia', 'sourceUrl': ""http://en.wikipedia.org/wiki/Shaquille_O'Neal""}",/trends/explore?q=/m/012xdf&date=2017-12-1+2018-1-1&geo=US,#f0a049,2,Shaquille O'Neal,False,Peaked at <b>#2</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/012xdf,<b>120 months</b> in top 10,Shaquille O'Neal,16,//www.google.com/search?q=Shaquille+O'Neal,26,Shaquille O'Neal #8 in Google Trends Basketball players chart,201712
8,1.0,<b>+1</b> since last month,"{'description': 'Benjamin David Simmons is an Australian professional basketball player for the Philadelphia 76ers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Ben_Simmons'}",/trends/explore?q=/m/0104v5dm&date=2017-12-1+2018-1-1&geo=US,#f0a049,2,Ben Simmons,False,Peaked at <b>#9</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0104v5dm,<b>2 months</b> in top 10,Ben Simmons,11,//www.google.com/search?q=Ben+Simmons,20,Ben Simmons #9 in Google Trends Basketball players chart,201712
9,3.0,<b>+3</b> since last month,"{'description': 'James Edward Harden Jr. is an American professional basketball player for the Houston Rockets of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/James_Harden'}",/trends/explore?q=/m/03wbkl5&date=2017-12-1+2018-1-1&geo=US,#feca65,1,James Harden,False,Peaked at <b>#5</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/03wbkl5,<b>19 months</b> in top 10,James Harden,12,//www.google.com/search?q=James+Harden,17,James Harden #10 in Google Trends Basketball players chart,201712
10,7.0,<b>+7</b> since last month,"{'description': 'Isaiah Jamar Thomas is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Isaiah_Thomas_(basketball)'}",/trends/explore?q=/m/05f7g9d&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Isaiah Thomas,False,Peaked at <b>#3</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/05f7g9d,<b>5 months</b> in top 10,Isaiah Thomas,13,//www.google.com/search?q=Isaiah+Thomas,17,Isaiah Thomas #11 in Google Trends Basketball players chart,201712
11,-1.0,<b>-1</b> since last month,"{'description': 'Russell Westbrook III is an American professional basketball player for the Oklahoma City Thunder of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Russell_Westbrook'}",/trends/explore?q=/m/03y9ygn&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Russell Westbrook,False,Peaked at <b>#4</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/03y9ygn,<b>17 months</b> in top 10,Russell Westbrook,17,//www.google.com/search?q=Russell+Westbrook,17,Russell Westbrook #12 in Google Trends Basketball players chart,201712
12,-4.0,<b>-4</b> since last month,"{'description': 'Derrick Martell Rose is an American professional basketball player for the Minnesota Timberwolves of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Derrick_Rose'}",/trends/explore?q=/m/0283v6h&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Derrick Rose,False,Peaked at <b>#3</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0283v6h,<b>59 months</b> in top 10,Derrick Rose,12,//www.google.com/search?q=Derrick+Rose,13,Derrick Rose #13 in Google Trends Basketball players chart,201712
13,1.0,<b>+1</b> since last month,"{'description': 'Joel Hans Embiid is a Cameroonian professional basketball player for the Philadelphia 76ers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Joel_Embiid'}",/trends/explore?q=/m/0yt0r0r&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Joel Embiid,False,,https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0yt0r0r,,Joel Embiid,11,//www.google.com/search?q=Joel+Embiid,12,Joel Embiid #14 in Google Trends Basketball players chart,201712
14,,<b>New</b> in chart,"{'description': 'Tristan Trevor James Thompson is a Canadian professional basketball player for the Cleveland Cavaliers of the National...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Tristan_Thompson'}",/trends/explore?q=/m/0fp_jys&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Tristan Thompson,True,Peaked at <b>#10</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0fp_jys,<b>2 months</b> in top 10,Tristan Thompson,16,//www.google.com/search?q=Tristan+Thompson,12,Tristan Thompson #15 in Google Trends Basketball players chart,201712
15,0.0,<b>Same rank</b> as last month,"{'description': 'Dwyane Tyrone Wade Jr. is an American professional basketball player for the Miami Heat of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Dwyane_Wade'}",/trends/explore?q=/m/03l295&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Dwyane Wade,False,Peaked at <b>#2</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/03l295,<b>95 months</b> in top 10,Dwyane Wade,11,//www.google.com/search?q=Dwyane+Wade,11,Dwyane Wade #16 in Google Trends Basketball players chart,201712
16,0.0,<b>Same rank</b> as last month,"{'description': 'Carmelo Kyam Anthony is an American professional basketball player for the Oklahoma City Thunder of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Carmelo_Anthony'}",/trends/explore?q=/m/03l26m&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Carmelo Anthony,False,Peaked at <b>#2</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/03l26m,<b>69 months</b> in top 10,Carmelo Anthony,15,//www.google.com/search?q=Carmelo+Anthony,11,Carmelo Anthony #17 in Google Trends Basketball players chart,201712
17,,<b>New</b> in chart,"{'description': 'Earvin ""Magic"" Johnson Jr. is an American retired professional basketball player and current president of basketball...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Magic_Johnson'}",/trends/explore?q=/m/095nx&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Magic Johnson,True,Peaked at <b>#5</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/095nx,<b>19 months</b> in top 10,Magic Johnson,13,//www.google.com/search?q=Magic+Johnson,10,Magic Johnson #18 in Google Trends Basketball players chart,201712
18,-7.0,<b>-7</b> since last month,"{'description': 'Giannis Antetokounmpo is a Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Giannis_Antetokounmpo'}",/trends/explore?q=/m/0pdnj7h&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Giannis Antetokounmpo,False,,https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0pdnj7h,,Giannis Antetokounmpo,21,//www.google.com/search?q=Giannis+Antetokounmpo,10,Giannis Antetokounmpo #19 in Google Trends Basketball players chart,201712
19,0.0,<b>Same rank</b> as last month,"{'description': 'Kawhi Anthony Leonard is an American professional basketball player for the San Antonio Spurs of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kawhi_Leonard'}",/trends/explore?q=/m/0gh6pc6&date=2017-12-1+2018-1-1&geo=US,#feca65,1,Kawhi Leonard,False,Peaked at <b>#6</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201712&geo=US&cat&mid=/m/0gh6pc6,<b>1 month</b> in top 10,Kawhi Leonard,13,//www.google.com/search?q=Kawhi+Leonard,10,Kawhi Leonard #20 in Google Trends Basketball players chart,201712
0,2.0,<b>+2</b> since last month,"{'description': 'The Los Angeles Lakers are an American professional basketball team based in Los Angeles...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Los_Angeles_Lakers'}",/trends/explore?q=/m/0jmk7&date=2017-7-1+2017-8-1&geo=US,#d04108,5,Los Angeles Lakers,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_teams&date=201707&geo=US&cat&mid=/m/0jmk7,<b>171 months</b> in top 10,Los Angeles Lakers,18,//www.google.com/search?q=Los+Angeles+Lakers,100,Los Angeles Lakers #1 in Google Trends Basketball teams chart,201707
1,0.0,<b>Same rank</b> as last month,"{'description': 'The Cleveland Cavaliers, often referred to as the Cavs, are an American professional basketball team based in Cleveland, Ohio...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Cleveland_Cavaliers'}",/trends/explore?q=/m/0jm7n&date=2017-7-1+2017-8-1&geo=US,#d04108,5,Cleveland Cavaliers,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_teams&date=201707&geo=US&cat&mid=/m/0jm7n,<b>132 months</b> in top 10,Cleveland Cavaliers,19,//www.google.com/search?q=Cleveland+Cavaliers,83,Cleveland Cavaliers #2 in Google Trends Basketball teams chart,201707
