User_id,Screen_name,Description,Friends_count,Statuses_count,favorite_count,location
2589593839,askmadewell,"Denim experts. Fit gurus. Product nerds. Call us what you want, we're here for you M-F, from 8AM-12AM.",1595,6685,175,
3402858136,echoesofghosts,| poetry for postreality |                                            heaven's trash,1951,159,0,
464164184,PatrickEins1,,87,9,148,
880942593726570000,mattcarroll53,"""Teacher."" Former Interim Head Football Coach. Writer, and real-life-scenario-comedian. Not the real Matt Carroll, unverified.",569,165,444,"Bradley, Ca"
795327046599573000,DannyGarrett17,,42,2,2,"Lake Charles, LA"
29789545,AndreaFeczko,Traveler by Nature | TV Host by Profession | #VacationCreation Saturday mornings on ABC | New Video: https://t.co/hP4hGfWsE9,299953,11432,10518,"Los Angeles, CA"
775988514026582000,athleasy,Effortless scheduling and booking software for fitness and sports clubs,1219,10,1,
850482629568643000,TayleyDays,"Travel, Food, Puns and other Shenanigans 
Currently working on #HugeFlowerProject, #FlowerPower

 #TayLey #TayLeyDays #TayLeyTravels",24,75,113,"California, USA"
780898136789135000,kingswell_yee,,131,34,5,
739823064821698000,usertest_io,"Rapid remote user testing platform, without the hefty price tag | Start testing today to improve your #UX and #CR. https://t.co/BY1HA5EwNi",1837,567,624,Worldwide
252886302,JohnAnnillo,If you own a Fitness Business join @GymAutoPilot's Mile High Marketing Club for the latest strategies on marketing your business. Access below for free!,3101,3360,7,"Hoboken, NJ"
364919143,susancoote813,"Project 813 : exhibitions, photography and projects: art, education and some action shots",1073,1736,3253," St. Davids, PA"
837341515982729000,CarliSinclair,"PhD candidate. 19th century American lit, coffee, and Finley the greyhound.",65,24,17,"Columbia, MO"
2216558718,gratefulgill,"Believer of grace, gratitude and inspiration, social worker, and single mom to 2 amazing kids.",132,42,46,
466442413,SocialInSeattle,News Events Announcements Music What's Happening in Seattle.  Join the Fun! ( Want to Intern for the Best in Social Media? Contact Info@SocialIn.Biz ),37470,155169,63,"Seattle, WA"
74369402,kaytyleslie,Expect business/development/South County stuff from @slotribune and gifs. So many gifs.,977,6241,1336,"San Luis Obispo, CA"
2497614536,DrMaidenberg,Psychotherapist. Teach at NYU. Co-Founder Thru My Eyes Foundation. Author of Free Your Child From Overeating.,2928,12269,3926,"Westchester, NY"
2472466171,BeaArthurLMHC,"Founder + CEO @TheDifferenceAI. Emotional expert, badass businesswoman, alliteration advocate! @WomenAtForbes Host, formerly @InYourCornerCo",2274,1005,23726,NYC
2367688604,quotesbyiamcz,"This account was created to share the words, understandings, and good vibes of @cz_equanimity (Chazz Equanimity aka CZ).",47247,187,0,Worldwide
24729804,maybamaung,Experience Designer. UX + Marketing. Polymath. Currently @MINDBODYonline #HCI,495,1077,475,San Luis Obispo
1430901781,SavonBartley,"Award Winning Storyteller | International Spoken Word Artist | Co Host @subjectivityuk | Featured in @nytimes, @Slate, @Inc, @TheOdyssey",1170,5046,1385,"North Chicago - New York,NY"
2367682938,JenSchleicher,LuLaRoe Consultant! Join our VIP shopping group! https://t.co/Rpwfph3mn1,18966,1216,6557,"Maryland, USA"
393887405,GramoBaloney,Playing sound reproductions from 1950 and/or earlier live on Mondays 3-6pm (PST) on @KPOOtweets KPOO #SanFrancisco 89.5FM & https://t.co/2nV4ic9Mtx 📻 📡,9891,4838,57310,San Francisco
815784050124267000,bachelrblogette,"All things #wine, #gossip, and #TheBachelor",776,259,194,Bachelor Nation
38390381,yvonnnneliu,Tools team @ifixit && FAC10 @founderscoders,62,84,169,
826811285186621000,Nahidahmed657,,857,2,0,
278637577,JodieZisow,"Baltimore, Jew, educator for liberation, hope over fear, biking, roller-skating, art, music.  Opinions are my own.",2023,5857,9491,
768630306,kellie1438,,113,226,1934,
132036694,Tahiti_7,,364,1004,645,
21706490,SheTweets88,Yep!,1033,2406,1676,"San Francisco, CA"
783933990545784000,ICTTodayHelp,"#ICT Today is the place to find out what's happening in tech and why it matters. Customer service gurus #icttoday,https://t.co/FuzOTSGRhO",2758,140,430,
2932799426,morales8710jose,,2381,278,1531,
722075233633509000,SGFranchising,Sir Grout is an international company with a perennially successful business model.,928,120,6,"Alpharetta, GA"
5823382,FernandoSalasNY,"🗽 #NYC #Media 📷 #Photographer 
☛: My 👻 #Snapchat #IG #Pinterest is: @FernandoSalasNY  
☛: FB: https://t.co/BmRdiA1s0J -  #smm",22170,85306,17838,NYC
4674071954,SLOforBernie,,22,7,2,
1877480221,KelseaFixes,Outreach Coordinator & YouTube Host for @ifixit |Dog Mom|Beach Bum,615,390,1330,"San Luis Obispo, CA"
792303780691714000,sleeepParalysis,"https://t.co/VuiGkjaRMe 
 I been suffering from demonic sleep paralysis  for about 15 years, Follow me as i tweet each experience and offer help.",4752,796,6,"British Columbia, Canada"
28598206,DappierDanny,The only thing I believe in is me.,268,3977,331,In the Clouds
1446694604,garrettfontenot,Ph.D. candidate in history @NotreDame; @FulbrightCanada and @Loyola_NOLA alum. Portmanteau enthusiast.,726,352,110,"Montréal, Québec"
20889919,tianxyx,#INTJ #ECRS #climber #recurver new to Python.,671,25786,2123,
2723711367,hansvk2,I roll on one and rule,102,29,5,"Summerland, CA"
23263205,Patriots87613,God Is always here for me and I'm very lucky to have God and Jesus in my life.,3743,8724,23,"Merced,California"
182262579,SRIHARSHASHARMA,Wish Me On 👉 May 26th Every Year and I'm a Vedic Priest in Yajurveda / Software Developer / Apple Die Hard,4995,7529,874,"Warangal-Hamamkonda, Andhra Pradesh"
133879298,TheEricGraham,"Father, Author, Speaker, Coach, Serial Entrepreneur. I help entrepreneurs & business owners maximize their income & magnify their impact on the world!",82725,27095,1128,"Alaska, USA"
756754267558465000,wearessthetic,,44,4,5,"Seattle, WA"
2487880291,siwikaduquf,ι'м ѕo lυcĸy! αғтer vιѕιт тнιѕ weвѕιтe ι cαɴ ɢeт нυɴdred тwιттer ғollowerѕ every dαy  https://t.co/JusRoi4hPq,4369,66,5,New York City
720344587089219000,nemosetbo1973,I want sex https://t.co/OKLdk4V0Ih,1961,1,0,
43158427,TPMILLS,More my photos - https://t.co/zXD74k5vaN,980,2,1107,
459557733,SocialInLA,"News, Events, Announcements, Music, What's Happening in Los Angeles. Join the fun!

Have an Event? We'll announce it FREE! https://t.co/RqgPnf6NvA",119391,200617,71,LA
523085507,PointLaRusso,"Hi;-) My nick SexiLove2 on the website	https://t.co/UJtYpXv3RO",867,48,0,"Boston, MA"
58333556,JewellW50,my private photos - https://t.co/oUwbblsNfV,4073,2,2581,
738546787414249000,silvertreefeed,Silver Tree Talent -- IG:@silvertreetalent,102,15,0,
725570098291957000,reviews4mybook,"Tired of waiting for the fam and friends to tell you books are ... uh, great?? Kick-start your book's success with real customer reviews. Don't wait any longer.",3099,2668,55,
277651881,laking44,Web Developer & Golf Scoring Enthusiast,42,111,560,"Camarillo, CA"
1070965536,jameslu0637,,661,54,117,
58363955,dosanjosnasci,,6,2,6,fortaleza
310246262,mlekonaukowa,This sentence is false.,735,369,17709,
3300276067,Shufrans,Shufrans TechDocs is a full-service technical documentation provider and the global leader in ASD-STE100 Simplified Technical English training and consultancy.,97,154,59,
401509668,Thegrassswale,"Author of The Grass Swale, Living with Guilt, Depression and PTSD, married to my love, Hope.#veteran #marine #semperfi #vietnamvet #painter",2320,1623,350,Georgia painter
2477189166,MooreNormal,Typing instructions for machines at iFixit,139,15,79,"San Luis Obispo, CA"
334297082,mackeykamran,"17. Fan of video games, YouTube, TV shows/movies, music, and technology. I'm also a fan of @Jack_Septic_Eye, and have been for close to 4 years. 😊",2675,24246,6663,"Calgary, Alberta"
2998914510,GloriaMcCully,"Cal '16 ~ climber, backpacker, adventurer!",4760,1517,3837,San Francisco
3280525202,mishmi_takin,"We make Outdoor Gear for wet, humid conditions ... our products breathe when others don't. #hiking #outdoor #adventure #Dare2Explore",4353,339,131,"Tampa, FL"
720375866681786000,SteveJo65378569,,12,0,0,
381355655,ohmaipie,Mai likes pie and she is trying her best,242,1200,3146,"San Francisco, CA"
3255385699,STE_trainer,Principal Simplified Technical English consultant with ten years of technical writing and editing experience for a global audience.,289,207,90,All over the place.
14056243,paulsailer,,1013,4,163,
709880260641333000,LuLaRoeKaitReed,LuLaRoe was created to make women feel beautiful. I'm blessed with the ability to sell and share these gorgeous pieces of clothing with all of you.,280,68,0,
701459915630444000,LuLaRoeCharlene,Facebook group has my current inventory. Contact me for a pop-up botique to earn free LuLaRoe clothes!!!,1185,57,1,"Solvang, CA"
707225495293669000,lularoe_amyt,LuLaRoe Fashion Consultant. Wife. Mom. Accountant. Bookworm.,2569,176,3,"Maine, USA"
19893048,akgraner,"Operations & Community Director, Event Planner, Author, Journalist, Open Source Evangelist, Skydiver, Veteran & more.",1251,5056,439,"ÜT: 35.429989,-81.977893"
324572261,acreativeloaf,i'm chandra. creative at heart. love art + handmade. i eat alot of chips. i grow plants too. blogger at ...,655,5007,35,
459089551,lolonienie,aspiring milf,272,1668,1041,"Orem, UT"
4824196572,lularoeMelveenA,,4768,110,8304,"Kailua kona, HI"
2433749275,STOKGrills,STŌK innovation & interchangeable insert system will change the way you grill. Step up your grill game & bring new flavor to your patio w/ STŌK! #getSTOKed,4903,5362,1250,"Anderson, SC"
2942248396,francesco_bianc,Fero... Sed semper Lupus!,1295,92,109,Italia
1880912450,MalikAwais_,,241,9,80,Amsterdam
14313220,somehume,Connector of cables and presser of buttons. These are my whispers.,1435,3769,381,oel ngati kameie
45295072,cvneutron,"I know half of you half as well as I should like, and I like less than half of you half as much as you deserve.",1139,4784,6810,"San Francisco, CA"
30160168,MikeLoftus_,WORDS have the power to inspire...,898105,5429,8284,"San Diego, CA"
2872661847,DennisKoutoudis,"LinkedIn Speaker, Author & Coach | Helping Individuals and Companies globally with LinkedIn & Social Selling | Featured in: Forbes, The Huffington Post, Fortune",606105,3623,9282,Greece
4760492352,ra_ch_el_m,,201,48,123,
2418098766,damongojobs,"Micro job market for freelance workers. Gig range from $5, $10, $20 and $50.",212790,434,737,
3065547828,MidtownBayside,Bayside Church • 2225 19th St. Sacramento • Sunday Services: 8:30am / 10:00am / 11:30am / 7:00pm https://t.co/UNQWJUTjdH,2325,4966,628,19th and W Midtown Sacramento
16099376,spectralite,Fava beans and a nice chianti,168,4832,13,California's Central Coast
4208823980,p_rexy,,395,13,16,"New Orleans, LA"
64482794,GuyisIT,SysAdmin- now exclusively Tier 2/3. You don't own it until you open it. All opinions void your warranty.,334,2081,6587,Central Indiana
1656702655,wmdsxz,浮生若梦，为欢几何。人生苦短，及时行乐。,742,96,13,四川成都
18476457,CorporateClass,"Leading experts in Executive Presence, Board Presence, Leadership Presence. Download our White Paper, and join the conversation with #CCIWhitePaper. Link in bio",1908,3613,45,"Toronto, Canada"
20741895,craftyphile,Social justice attorney who writes laws and takes names; atheist; mom; TV enthusiast. I don't respond to Trump-bigots.,864,4050,4005,
944596092,LoynoAMA,Loyola's very own chapter of the American Marketing Association. Interested in joining? Email: amaloyolanola@gmail.com,963,109,19,"New Orleans, LA"
32349022,patelkalpesh,,171,374,22,"Mumbai, India"
3612317849,iamjackblackman,Software Engineer. ex @Google. Stanford Grad. Working on a startup.,1817,233,1319,"Palo Alto, CA"
31532932,scott_sc22,Do what you can't || Instagram: scott_sc & Snapchat: scott_sc09,399,595,1736,
3586322712,marimarisabel89,,221,1,0,"Houston, TX"
32520785,IkinComasPR,“La Miseria Engendra Igualdad”. EL NIETO DE ISO! Visual Studio developer,2257,2224,16,Puerto Rico
3425883244,mizyanoo11,,118,117,0,
3425881678,za3tor11,,118,105,0,
3430277963,Trisha7jl,"Fashion withperipheral music, culture and snark.",888,31,0,"Springfield, MO"
14148403,freestyle_watch,Official Twitter of Freestyle Watches. #myfreestylewatch,5810,5313,175,"Costa Mesa, California"
3274734122,RisingStories,"A new novel by Don LePan, /Rising Stories/ is about growing up and growing old; about hope and ambition; about cities and skyscrapers. http://t.co/9puUEDeOT1",115,33,6,
3286299971,sarahcoopsmith,,70,125,103,"New Orleans, LA"
31033695,SultanOfSalem,Sequels to the Count of Monte Cristo by HG Writer,138650,12309,34,Mysterious location
2968263891,cullenarroyo,,128,2,1,
2927038396,StoryJamTheatre,"http://t.co/XuJyNLl5C2  If you are moved and inspired by epic stories, then you're in the right place!",1206,197,902,
167717551,K3roK,ピアニスト | 音楽 | ゼルダの伝説 | スマブラ｜LoZ | Pianist | Percussionist | Drummer | Romcom King | Music Junkie | Cat Reposts | 日本語はいい。しゃべろう　|дﾟ),1493,1304,1551,"Alabama, USA"
3227139306,blancoLa225,Bookings 225-281-5500 email me @ blancowhite225@gmail.com Mixtape I Want it All on soundcloud follow the Link below.....   https://t.co/0uINTosWsj...,730,229,22,"Baton Rouge, LA"
252100926,DOfficialBarbs,"Opinionated every single time, so think before hitting that Tweet button.",3439,7828,11516,"Studio 21, Sky Central"
94599003,Christianbudi87,,995,3347,26,
2950736344,woibiasr22,More marriages might survive if the partners realized that sometimes the better comes after the worse.,2638,11,53,"Anderson city, AK, USA"
285967522,malloryeasp,International Group Sales Representative at Mardi Gras World. Speaks Chinese and English,204,9,14,
52641950,lankyinho,"Arsenal fan, a curious case of the Dunning-Kruger effect and Mesut Ozil is better than you",2159,11425,2441,India
3208799890,AnneLeonpacher,,41,3,1,
329789184,mcvijanovic,"Owner & Director at MC GROUP d.o.o., Entrepreneur, Jebivetar, ...",742,1468,1358,"Ljubljana, Belgrade, NY, Miami"
133443632,eekinthecreek,"Loving life! Daughter, Sister, Wife and Mother of 2, hiking, biking, and enjoying time with my family and friends! Opinions are my own.",22390,1419,978,"Dayton, OH"
15604020,alpacatje,,764,13383,436,"Brussels, Belgium"
1622624820,bsadiocherif,,649,19,72,
222686829,michaelcrosby87,Progressive / anti-neoliberal  - against austerity / wrestling fan / Apple iOS user / comic book geek / Aspie,448,5752,1565,"Brisbane City, Brisbane"
151285198,vicentBarbetta,"Sagittarius and italovenezuelan, books and photography lover, videogames addicted
I love Music, geek, demigod, potterhead, Tribute, nefilim, edena ruh",514,8638,1119,
3158629273,ren_floyd,,47,3,3,
14215285,VackerSimon,"Developer, tech enthusiast, Swedish, SNSD fan. AKA Xphome/(Zias/Aphias_TL447)",2708,14263,111051,Sweden
44472463,IrvelN,Koyaanisqatsi,661,2689,2402,
1927410733,kaykayclapp,Director of Things @iFixit.  Fluent in parseltongue. Amateur adventurer. I eat everything with a side of rice.  Chat me @ kaykay (at) ifixit (dot) com,758,811,834,
490589842,PremiseOhSum,Explorer / Sci-Fi / Girl / Writer / Electro,348,73,185,
3035181743,be19978,Facebook 2 Achraf belaali,1580,12,17,casa
16603529,LuckGoddess,"Owner of 5th Avenue Delicious, Nike, Bacon, & Sports are the things that keep me happy.",187,1788,79,New Orleans by way of NYC.
14067680,itsAndyKing,"San Luis Obispo–area hiker, poet, photographer. Penchant for long trails & steep climbs. ❤️ the Los Padres NF. Outfitter @ The Mountain Air.",944,7721,814,"Los Osos, California"
2511530486,StubbornCowlick,"So blasé, it's exhausting. Shameless. Partial poet.",1735,125,11,
3032086447,mulletover22,I ain't very good at this internet stuff cause my mullet messes up my wifi.,181,38,35,
977738545,driftingquietly,"Meeting new people, experiencing new things, and traveling the world -- that is how I find my joie de vivre!",135,31,14,
356695050,JohnCHampsey,Author: KAUFMAN'S HILL. Published February 2015. Cal Poly Professor: Romantic/Classical Lit.,295,182,10,
228801579,paulleavoy,"#Toronto Writer, #Content Marketer. #Environment, #EHS, #greentech, #sustainability, #CSR, #climate, #renewables, #tech...#jazz :)",564,7,150,"Toronto, Ontario"
2723340960,TaylorArnicar,Software builder and investor extraordinaire.,140,471,463,"Sunnyvale, CA"
2919177605,AdamHillSentenc,"Anomaly, and a knife with no handle, lacking a blade.",142,119,9,Tijuana
35762667,GembaAcademy,"The world leader in online and DVD-based Lean and Six Sigma Training. Improvement learning, improved.",2766,3516,11,
26012052,Integra_Telecom,Integra is now @Allstream. Visit https://t.co/w6K592nHCY to learn more.,2450,2287,371,United States
135559434,basissri,,2478,4,15,
2892886035,nataliecrist89,,195,318,110,
204907394,krimvanila,Kota nan bengkok,898,169,11,Padang
184347287,sayit2theworld,I might as well jump! -Van Halen,480,379,144,United States
26460473,EGlicky,Intermittent tweeter of sports commentary and average jokes,1319,2470,842,
2320773038,StartUpsGreen,"Start-Ups.co is a Blog that features daily Start-Ups news, reviews and interviews. We were featured in TechCrunch, Alltop, and .Co.",95842,2114,1,Worldwide
33623119,TeddySTL,Pizza. Jesus. Samson. Drums for The Rocket Summer.,195,295,46,"Central Coast, CA"
2820657188,givebackpackers,A community of conscious travelers experiencing the world & making a difference. Join us! https://t.co/iafMGz65Wj,1859,399,181,
549674178,LisaChoy2,,13,23,0,SF Bay Area
2841838442,DoctorDyatt,,30,4,0,
12465942,coll0023,,443,648,271,
2818044440,patickflorence,"Design, craft, making, skill and london!",1727,685,426,london
125210080,cinquaincellars,,64,2,1,
479283392,problypicasso,🤔,397,39,78,USA
246423693,copperwall,Computer Science @CalPoly. Dev @iFixit. Band nerd. @TheBlueDevils Alumni. 22E1 A2AE 4007 8061 8FB9 0D1B D72D D499 1696 CE67,369,781,591,"San Luis Obispo, CA"
2519202007,TidalEnergy1,Re-power the world with the ocean. Learn more at http://t.co/7vQ3aqmRvR #Renewable #ClimateChange #Sustainability #Energy #Climate,16706,527,8024,FL
1403483834,PelicanLarrys,"The Locals Bar + Fresh Shucked Oysters The Best Sports Bar, Best Nightclub & #1 Wings '14 In #SWFL @NDN. Live Music, Drink, & Food till 1:45AM #FOODIE #NAPLES",1856,2726,2,"Naples, Florida"
2685378865,MadelineDBSIR,Realtor at Dorian Bennett Sotheby's Int'l Realty and part of the Jennifer Rice Team! http://t.co/kTyfFSYVmm . http://t.co/c99NZn7Bdx,486,23,62,"New Orleans, LA"
14151799,thetrystero,Founder and CEO eruditly. ex-astrophysicist. keto. c0d3r,1608,1145,828,Malaysia
399925642,trisarahhhtops_,"≫ christian hedonist, songbird, mermaid, cat mom, slytherin, analogy queen, throw pillow connoisseur, thin mint addict. †blessed & beloved ∙ psalm 71:14 || ♫↓",258,25909,66698,so cal ☼
250466432,marydjameson,Uproar PR | Chicago,978,1251,335,"Chicago, Il"
618472815,alexjchoy,"Working with the best and brightest @ SVB, runner, photographer, fish in a former life. Views are my own.",657,560,2685,"San Francisco, CA"
1953868058,Repairloop,Repair to Infinity!,136,97,10,
2578716378,liltwistparody,parody parody #skar7,645,12,0,
970798160,RachelLFunel,"A true NOLA gal who loves Football, Fried Chicken and Blue Runner Beans! Go Saints! Expert for all things Destination Wedding in New Orleans.",141,199,75,
2597005392,DozukiDev,,12,0,0,
76703594,Elbrosso,Écrit des trucs pour @Mac4Ever | @MacinPoche_fr | Désanusseur de porc | Prix Nobel de course en sac,1671,2320,353,"Toulon, France"
2344445030,dommatweets,,59,120,2692,
47708151,ejpiller,"PhD candidate in rhetoric and composition @UCONN, MFA in poetry from Warren Wilson College. Views expressed are my own.",1369,1573,7807,"Windham, CT"
2345765634,DavidBReeves,"Fisheries scientist, @NASEM_Gulf Science Policy Fellow, unapologetic fish nerd. Ph.D. by way of LSU and LUMCON.",836,703,448,"Baton Rouge, LA"
83912418,EddieGeeze,"Social media. @Loyola_NOLA & @Mizzou. Excessive sports tweets. Sometimes, I tweet en español. One hole-in-one and counting. Views are mine... all mine! 🇺🇸🇵🇷",686,3903,413,"Austin, TX"
887240600,Urbancitos,,80,117,28,No Fucks Given
2349337794,dcollinshk,"Like Technology, Cinematography, Innovation & Loud Shirts. Even Acted in a Short Movie ! Have a Robet De Niro scrapbook ! (ex) Athlete",4123,24204,79,Dublin
29342035,PCH_Intl,"PCH works with Cos that are passionate about design, brand & the consumer experience. If it can be imagined, it can be made. We Make.",2547,11077,2725,Global. Geography is History!
2493317869,fixerfair,"Somerville Fixer Fair & Tool Library organizer.  I also work at @PartsandCrafts.  I am a female human being, a fixer, an artist and a mother.",454,724,307,Union Square Somerville
2350752967,RocketDept,"Engineering prototypes, products & custom installations || #Makers #Design #IoT #WebDev || Product #LearnToSolderKit https://t.co/YHbE33jDMe",1968,1461,2059,"Sacramento, CA"
313499994,jgay32,,165,133,3,
480164905,meguin32,"Technical Writer for Overwatch, but my tweets are my own. Gamer • Cat Lady • Ravenclaw • Sci-fi/Fantasy Nerd • Vintage Fashion Lover • Seamstress • Beatlemaniac",122,1539,5930,"Irvine, CA"
329520259,j_suov,,27,0,0,
2430445573,likiravi45,"DIRECTOR, AGHANYA VENTURES PVT LTD AND SARVAADITHYA HEALTHCARE PVT LTD",528,189,486,
1335996218,laetitiam4e,Rédactrice @Mac4Ever,797,159,6,Annecy
416872150,FrenchStallion1,From The great city of LA hooped and graduated from LBSU played pro ball in france back in the city i Love now beautiful Los Angeles,226,2,17,"Los Angeles, California"
55521513,Lickle967,,1455,3222,65,"10.710474,-61.515808"
2431782481,cpsmoot,Nipomo High School English teacher. Avid reader. Constant writer. Perpetual dreamer. Advocate for laughter. Zealous art supporter. Spirited innovator.,252,180,37,
982635223,PNAToolLibrary,"For over 37 years, the PNA Tool Library has shared tools, referrals, advice, and workshops with all of our neighbors throughout North Seattle.",429,355,359,North Seattle
278768041,shopadeline,Young women's contemporary clothing store.  Everything is under $150! We are located at 4412 E. Lovers Lane between Douglas and the tollway.,473,3349,6,"Dallas, Texas"
14043542,scotttherobot,It's not easy having a good time. Even smiling makes my face ache.  Are we human or are we java.lang.NullPointerException? Software Development at Apple.,366,20895,3353,"Boulder Creek, CA"
610662018,NewsHandler,"Journo turned Entrepreneur, Founding Member of Arka Inc.",457,724,111,San Francisco
483507449,JPatrickDunn,,329,403,1118,"Mount Baker, Seattle"
2413151694,FeatherFlight_,Want a challenge? Play the action packed pool ball shooter,1747,152,50,UK
1651462064,RDisposable,Stop waste before it starts. A campaign of Clean Water Action and Clean Water Fund to reduce food and beverage packaging at the source.,403,583,258,"Oakland, CA"
29587148,GreenUrsula,Trying to live sustainably one choice at a time.,50,298,9,
208674913,FixitClinic,"Fixit Clinic: Guided disassembly of your broken stuff. We provide workspace, specialty tools, and guidance to help you disassemble and troubleshoot your item.",34,208,6,"Berkeley, California, USA"
2388276769,sheridyn11,,82,7,4,
36115948,LadyTimeAlisha,Emmy Award Winning Actress. Latin Grammy Winner. Author. Humorist. Wife. Mother. Wanderlust Advocate.,2584,4397,3810,"Los Angeles, CA"
2332298239,nledesma9,,43,4,27,
346362105,N_oO_therpL_Ace,Passionate about Psychology and Social Media. Seeking New Professional Opportunities.,1041,274,107,Chicago
351283749,GarethOwenLloyd,Also @machinesroom @makermilebot @alterfuture,1029,197,42,
2318199480,dontcallmenicki,so what’s the sitch,247,1722,9616,"California, USA"
401291759,Coguelin,"Senior Game Designer at @Paladinstudios, Den Haag / Book-loving malandro / Gonzo philosopher / Armchair magician / Nomadic warrior / still killing the Buddha.",2109,5352,3332,"Den Haag, The Netherlands"
180907166,tessawernink,owner t h e w h o l e w o r k s. using communications as a force for good. working with campaigning enterprises. serious and optimistic. mother of three.,499,326,58,Amsterdam
212796462,Elmomcd,Tech geek. Find me on most things under Elmomcd. Main interests are TV/films and Football (Man Utd). My son is my world!,1126,6694,503,Chesterfield
1049482484,pregbob22,You should probably fact check everything I say,357,36,49,SPS
279550146,lobosdesign,"Professor @RIT_ID - design, tech, music, running, random nonsense",369,2883,1492,Rochester NY
1222919984,TenaciousDz,Chronicles of a #righteous soul  and #rEvolutionary spirit...  #SumofDz #Creative #Detroit #Inspire #PositiveVibes #Educate #Empower #WhighseGuy,697,2275,146,Take a wild guess
267362070,BlueBowGrl,YA Author / Wine Slinger (tasting attendant) / Reader / World Traveler / Part Time Unicorn 🦄 🖋🌎 #amwriting,1616,28487,2076,The California Coast. 
