postId,hashtags1,hashtags2,hashtags3,hashtags4,hashtags5,hashtags6,hashtags7,hashtags8,hashtags9,
1.56E+18,gotpremierela, winterishere, gots7,,,,,,,
1.56E+18,gotpremierela, winterishere, gots7,,,,,,,
1.56E+18,gotpremierela, winterishere, gots7,,,,,,,
1.56E+18,gotpremierela, gots7,,,,,,,,
1.56E+18,gots7, gotpremierela,,,,,,,,
1.56E+18,winterishere, gotpremierela, gots7,,,,,,,
1.56E+18,gots7, gotpremierela, winterishere, gots7,,,,,,
1.56E+18,winter, losangeles, gotpremierela, winterishere, gots7,,,,,
1.56E+18,prepareforwinter, got, gots7,,,,,,,
1.56E+18,gameofthrones, snapchat, gots7, winterishere,,,,,,
1.56E+18,prepareforwinter, gameofthrones, gots7,,,,,,,
1.55E+18,prepareforwinter, winterishere, gots7,,,,,,,
1.55E+18,gots7, gameofthrones, whispersofwesteros,,,,,,,
1.55E+18,prepareforwinter, got, gots7,,,,,,,
1.55E+18,prepareforwinter, gameofthrones, gots7,,,,,,,
1.55E+18,prepareforwinter, got,,,,,,,,
1.55E+18,prepareforwinter, got, gots7,,,,,,,
1.55E+18,prepareforwinter, gameofthrones, gots7, winterishere,,,,,,
1.55E+18,pride, gameofthrones,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,gots7,,,,,,,,,
1.54E+18,winterishere, gameofthrones, gots7,,,,,,,
1.54E+18,prepareforwinter, got, gots7,,,,,,,
1.54E+18,prepareforwinter, gameofthrones, gots7,,,,,,,
1.54E+18,prepareforwinter, got,,,,,,,,
1.54E+18,prepareforwinter, got, gots7,,,,,,,
1.53E+18,prepareforwinter, gameofthrones, gots7,,,,,,,
1.53E+18,prepareforwinter, got,,,,,,,,
1.53E+18,prepareforwinter, got, gots7,,,,,,,
1.53E+18,prepareforwinter, gameofthrones,,,,,,,,
1.53E+18,gameofthrones, prepareforwinter,,,,,,,,
1.53E+18,prepareforwinter, gameofthrones,,,,,,,,
1.52E+18,gameofthrones,,,,,,,,,
1.52E+18,gameofthrones, gots7,,,,,,,,
1.52E+18,gameofthrones,,,,,,,,,
1.52E+18,gameofthrones, whispersofwesteros, gots7,,,,,,,
1.52E+18,gameofthrones, whispersofwesteros,,,,,,,,
1.52E+18,gots7,,,,,,,,,
1.51E+18,mothersday, gameofthrones,,,,,,,,
1.51E+18,mgot, gots7,,,,,,,,
1.51E+18,gots7,,,,,,,,,
1.50E+18,tbt, gameofthrones,,,,,,,,
1.50E+18,gameofthrones, mgot, gots7,,,,,,,
1.49E+18,,,,,,,,,,
1.47E+18,hbotheescape, sxsw2017, gameofthrones,,,,,,,
1.47E+18,gots7,,,,,,,,,
1.47E+18,gameofthrones, gameofthroneslive,,,,,,,,
1.44E+18,gameofthrones, got,,,,,,,,
1.44E+18,gameofthrones,,,,,,,,,
1.44E+18,gameofthrones,,,,,,,,,
1.37E+18,spiritday,,,,,,,,,
1.36E+18,gameofthrones,,,,,,,,,
1.35E+18,,,,,,,,,,
1.34E+18,gameofthrones, emmys,,,,,,,,
1.30E+18,ramsay, sdcc, wbsdcc, gotsdcc,,,,,,
1.30E+18,ramsay, sdcc, wbsdcc, gotsdcc,,,,,,
1.30E+18,ghost, sdcc, wbsdcc, gotsdcc,,,,,,
1.30E+18,drogon, sdcc, wbsdcc, gotsdcc,,,,,,
1.30E+18,aryastark, sdcc, wbsdcc, gotsdcc,,,,,,
1.30E+18,jonsnow, sdcc, wbsdcc, gotsdcc,,,,,,
1.30E+18,sdcc, wbsdcc, gotsdcc,,,,,,,
1.30E+18,thehalloffaces, sdcc, gotsdcc,,,,,,,
1.29E+18,emmys, gameofthrones,,,,,,,,
1.28E+18,gotseason6,,,,,,,,,
1.28E+18,afterthethrones, hbonow,,,,,,,,
1.28E+18,gotseason6,,,,,,,,,
1.28E+18,afterthethrones, hbonow,,,,,,,,
1.27E+18,gotseason6,,,,,,,,,
1.27E+18,afterthethrones, hbonow,,,,,,,,
1.27E+18,hbonow, gotseason6,,,,,,,,
1.27E+18,gameofthrones, hbo,,,,,,,,
1.27E+18,nationalbestfriendday,,,,,,,,,
1.27E+18,gotseason6,,,,,,,,,
1.27E+18,afterthethrones, hbonow,,,,,,,,
1.26E+18,gotseason6,,,,,,,,,
1.26E+18,gotseason6,,,,,,,,,
1.26E+18,gotseason6, jonsnow,,,,,,,,
1.26E+18,afterthethrones, hbonow,,,,,,,,
1.25E+18,gameofthrones, gotseason6,,,,,,,,
1.25E+18,afterthethrones, hbonow,,,,,,,,
1.25E+18,gotseason6, gameofthrones,,,,,,,,
1.25E+18,gotseason6, gameofthrones,,,,,,,,
1.24E+18,,,,,,,,,,
1.24E+18,gameofthrones,,,,,,,,,
1.24E+18,gameofthrones,,,,,,,,,
1.24E+18,,,,,,,,,,
1.24E+18,gameofthrones,,,,,,,,,
1.24E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,artthethrone,,,,,,,,,
1.23E+18,artthethrone,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,drogon, gotpremierela,,,,,,,,
1.23E+18,gotpremierela,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,gotpremierela,,,,,,,,,
1.23E+18,greyworm, gotpremierela,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gameofthrones, gotseason6, gotpremierela,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela,,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,boomerang, gotpremierela, gameofthrones,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,boomerang, gotpremierela,,,,,,,,
1.23E+18,boomerang, gotpremierela, gameofthrones,,,,,,,
1.23E+18,gotpremierela,,,,,,,,,
1.23E+18,gotpremierela,,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,gotpremierela,,,,,,,,,
1.23E+18,gotpremierela, gameofthrones,,,,,,,,
1.23E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,gameofthrones, gotpremierela, got,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.22E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,hbonow,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got5dvd,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,got5dvd,,,,,,,,,
1.21E+18,sxswesteros, thehalloffaces,,,,,,,,
1.21E+18,,,,,,,,,,
1.21E+18,got50,,,,,,,,,
1.21E+18,,,,,,,,,,
1.21E+18,thehalloffaces, sxsw,,,,,,,,
1.20E+18,thehalloffaces, sxswesteros, catconcoctions,,,,,,,
1.20E+18,,,,,,,,,,
1.20E+18,siliconvalleyhbo, thehalloffaces, sxswesteros, sxsiliconvalley,,,,,,
1.20E+18,thehalloffaces, sxswestros, sxsw,,,,,,,
1.20E+18,got50,,,,,,,,,
1.20E+18,got50,,,,,,,,,
1.20E+18,got50,,,,,,,,,
1.20E+18,gotseason6,,,,,,,,,
1.20E+18,got50,,,,,,,,,
1.20E+18,got50,,,,,,,,,
1.20E+18,got50,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016,,,,,,,,,
1.19E+18,toyfair2016, got,,,,,,,,
1.17E+18,housestark, houselannister, housetargaryen,,,,,,,
1.15E+18,gameofthrones, happyholidays,,,,,,,,
1.13E+18,gameofthrones, worldaidsday,,,,,,,,
1.13E+18,thanksgiving,,,,,,,,,
1.13E+18,gotseason6, gameofthrones,,,,,,,,
1.10E+18,spiritday,,,,,,,,,
1.08E+18,gameofthrones, emmys,,,,,,,,
1.05E+18,gotseason5,,,,,,,,,
1.04E+18,gotseason5,,,,,,,,,
1.03E+18,expriencetherealm, sdcc,,,,,,,,
1.03E+18,samwelltarly, sdcc, comiccon, gotsdcc,,,,,,
1.03E+18,sansa, sdcc, comiccon, gotsdcc,,,,,,
1.03E+18,samwelltarly, sdcc, comiccon, gotsdcc,,,,,,
1.03E+18,sdcc, comiccon, gotsdcc,,,,,,,
1.03E+18,sdcc, joffrey, comiccon, gotsdcc,,,,,,
1.03E+18,arya, comiccon, gotsdcc,,,,,,,
1.03E+18,sdcc, comiccon, gotsdcc,,,,,,,
1.03E+18,gwendolinechristie, brienne, sdcc, comiccon, gotsdcc,,,,,
1.03E+18,samwelltarly, sdcc, comiccon, gotsdcc,,,,,,
1.03E+18,experiencetherealm, sdcc,,,,,,,,
1.03E+18,experiencetherealm, gameofthrones, sdcc,,,,,,,
1.03E+18,sdcc, experiencetherealm,,,,,,,,
1.02E+18,experiencetherealm, sdcc, comiccon, gameofthrones, got,,,,,
1.02E+18,equality, scotusmarriage,,,,,,,,
1.01E+18,gotseason5,,,,,,,,,
1.01E+18,gotseason5, hbonow,,,,,,,,
1.01E+18,gotseason5,,,,,,,,,
1.01E+18,gotseason5,,,,,,,,,
1.00E+18,gotseason5,,,,,,,,,
1.00E+18,gotseason5,,,,,,,,,
9.99E+17,gotseason5,,,,,,,,,
9.96E+17,gotseason5,,,,,,,,,
9.95E+17,gotseason5,,,,,,,,,
9.94E+17,gotseason5,,,,,,,,,
9.91E+17,rednoseday2015, coldplay, chrismartin,,,,,,,
9.86E+17,gotseason5,,,,,,,,,
9.81E+17,gotseason5,,,,,,,,,
9.80E+17,gotseason5,,,,,,,,,
9.79E+17,gotseason5,,,,,,,,,
9.76E+17,gotseason5,,,,,,,,,
9.75E+17,gotseason5,,,,,,,,,
9.73E+17,gotseason5,,,,,,,,,
9.70E+17,gotseason5,,,,,,,,,
9.70E+17,gotseason5,,,,,,,,,
9.70E+17,,,,,,,,,,
9.65E+17,gotseason5,,,,,,,,,
9.65E+17,rideofthrones,,,,,,,,,
9.62E+17,drogon, catchdrogon, doubletap, gameofthrones, got, gotseason5, dragons, khaleesi, targaryen, daenerys
9.62E+17,drogon, catchdrogon, gameofthrones, gotseason5, targaryen, dragon, dragons, daenerys, khaleesi,
9.60E+17,gotbetrayals, mockingbird, themountainandtheviper,,,,,,,
9.60E+17,thelionandtherose, thelawsofgodsandmen, gotbetrayalsmarathon,,,,,,,
9.59E+17,gotbetrayals, andnowhiswatchisended, therainsofcastamere,,,,,,,
9.58E+17,gotbetrayals, whatisdeadmayneverdie, theghostofharrenhall,,,,,,,
9.57E+17,gotbetrayals, baelor, fireandblood,,,,,,,
9.50E+17,gotseason5,,,,,,,,,
9.49E+17,gotseason5,,,,,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,littlefinger, gotpremieresf,,,,,,,,
9.47E+17,brienne, got, gotpremieresf, gameofthrones, hbo, peterdinklage, lannister,,,
9.47E+17,gameofthrones, gotpremieresf, hbo, gameofthrones,,,,,,
9.47E+17,gameofthrones, gotpremieresf, gameofthrones, hbo,,,,,,
9.47E+17,togetherness, gotpremieresf, gameofthrones, hbo,,,,,,
9.47E+17,dorne, gotpremieresf, gameofthrones, hbo,,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,brienne, gotpremieresf, gameofthrones, hbo,,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo, roosebolton, redwedding,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,nedstark, gotpremieresf,,,,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo, sansastark, sansa,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,greyworm, gotpremieresf, gameofthrones, hbo,,,,,,
9.47E+17,hodor, hodor, gotpremieresf, gameofthrones, hbo,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,drogon, got, gotpremieresf, gameofthrones, hbo, emiliaclarke,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,grrm, gotpremieresf, gameofthrones, dragon, georgerrmartin,,,,,
9.47E+17,gotpremieresf, dany, cersei, gameofthrones, hbo,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,gotpremieresf, gameofthrones, hbo,,,,,,,
9.47E+17,tyrion, gotpremieresf, gameofthrones, hbo,,,,,,
9.47E+17,arya, sansa, gotpremieresf, gameofthrones, hbo,,,,,
9.47E+17,gameofthrones, gotpremieresf,,,,,,,,
9.47E+17,gotpremieresf, gameofthrones,,,,,,,,
9.47E+17,gotpremieresf,,,,,,,,,
9.47E+17,sanfrancisco, gotpremieresf,,,,,,,,
9.46E+17,nyc, sanfrancisco, gotpremieresf,,,,,,,
9.45E+17,gameofthrones,,,,,,,,,
9.45E+17,gotpremieresf, gameofthrones,,,,,,,,
9.45E+17,gotpremieresf, gameofthrones,,,,,,,,
9.44E+17,,,,,,,,,,
9.43E+17,catchthethrone,,,,,,,,,
9.42E+17,gotseason5, got, gotpremieresf,,,,,,,
9.42E+17,housegrumpy, catsofinstagram, sxsw, gameofthrones,,,,,,
9.42E+17,sxswesteros, housegrumpy, catsofinstagram, sxsw, gameofthrones,,,,,
9.42E+17,sxswesteros, housegrumpy, catsofinstagram, sxsw, gameofthrones,,,,,
9.42E+17,housegrumpy, catsofinstagram, sxsw, gameofthrones,,,,,,
9.42E+17,sxswesteros, housegrumpy, catsofinstagram, sxsw, gameofthrones,,,,,
9.40E+17,gameofthrones, gotpremieresf, knightmarrykill,,,,,,,
9.40E+17,got, catchthethrone, gameofthrones,,,,,,,
9.39E+17,got, catchthethrone,,,,,,,,
9.38E+17,,,,,,,,,,
9.38E+17,got, catchthethrone,,,,,,,,
9.37E+17,,,,,,,,,,
9.34E+17,got, catchthethrone,,,,,,,,
9.34E+17,tbt,,,,,,,,,
9.32E+17,got, catchthethrone,,,,,,,,
9.30E+17,,,,,,,,,,
9.29E+17,gotseason5, jonsnow,,,,,,,,
9.28E+17,gameofthrones, catchthethrone,,,,,,,,
9.20E+17,happyvalentinesday,,,,,,,,,
9.20E+17,gameofthonres, toyfair,,,,,,,,
9.19E+17,gotseason5, tyrion,,,,,,,,
9.18E+17,gameofthrones, catchthethrone,,,,,,,,
9.17E+17,gotseason5,,,,,,,,,
9.15E+17,gotseason5, gameofthrones,,,,,,,,
9.12E+17,gameofthrones,,,,,,,,,
9.10E+17,gotseason5, gameofthrones,,,,,,,,
9.09E+17,imaxgot, gotseason4, gotseason5,,,,,,,
9.07E+17,snowmageddon,,,,,,,,,
9.02E+17,gotdayinthelife, gotseason5,,,,,,,,
8.98E+17,imaxgot, gameofthrones,,,,,,,,
8.94E+17,gotseason5,,,,,,,,,
8.91E+17,catchthethrone, gameofthrones, anthrax,,,,,,,
8.88E+17,nye,,,,,,,,,
8.83E+17,gameofthrones, merrychristmas,,,,,,,,
8.63E+17,thronesgiving,,,,,,,,,
8.62E+17,thesight,,,,,,,,,
8.33E+17,spiritday, gameofthrones,,,,,,,,
7.96E+17,gameofthrones, jonsnow, ghost,,,,,,,
7.74E+17,survivetherealm, sdcc, comiccon, gameofthrones, got, sdcc2014,,,,
7.73E+17,sdcc, survivetherealm, comiccon, sdcc, gameofthrones, gotsdcc,,,,
7.73E+17,got, ironthrone, sdcc, brienne, comiccon, gotsdcc, survivetherealm,,,
7.73E+17,grrm, sdcc, comiccon, gotsdcc,,,,,,
7.73E+17,gwendolinechristie, brienne, sdcc, comiccon, gotsdcc,,,,,
7.73E+17,johnbradleywest, whitewalker, sdcc, comiccon, gotsdcc,,,,,
7.73E+17,nikolajcosterwaldau, sdcc, jaimelannister, comiccon, gotsdcc,,,,,
7.73E+17,kitharington, jonsnow, sdcc, comiccon, gotsdcc,,,,,
7.73E+17,ygritte, roseleslie, sdcc, comiccon, gotsdcc,,,,,
7.73E+17,sdcc, thehound, comiccon, gotsdcc,,,,,,
7.73E+17,cersei, sdcc, comiccon, gotsdcc,,,,,,
7.73E+17,sdcc, comiccon, gotsdcc,,,,,,,
7.73E+17,rorymccann, thehound, sdcc, comiccon, gotsdcc,,,,,
7.73E+17,survivetherealm, sdcc, gameofthrones, sdcc2014, comiccon,,,,,
7.72E+17,valarmorghulis, tyrion, valarhoursdcc, sdcc, sdcc2014, comiccon, gameofthrones, got,,
7.72E+17,tyrion, valarhoursdcc, gameofthrones, got, sdcc, sdcc2014, comiccon,,,
7.72E+17,tyrion, beer, valarmorghulis, valarhoursdcc, gameofthrones, got, sdcc, sdcc2014,,
7.72E+17,sdcc, survivetherealm, gameofthrones, comiccon, got, tattoo, thehound, sdcc2014,,
7.71E+17,cfx,2944, sdcc, comiccon, gotsdcc, got, gameofthrones, whitewalker,,
7.71E+17,sdcc, sdcc,5343, got, comiccon, gotsdcc, gameofthrones,,,
7.65E+17,got, sdcc, survivetherealm,,,,,,,
7.62E+17,gameofthrones, peterdinklage, dianarigg,,,,,,,
7.47E+17,thechildren, gameofthrones,,,,,,,,
7.46E+17,thechildren, jaimelannister, tyrionlannister,,,,,,,
7.44E+17,thechildren, gameofthrones, arya, thehound,,,,,,
7.41E+17,thewatchersonthewall, ygritte,,,,,,,,
7.40E+17,thewatchersonthewall, ghost,,,,,,,,
