,col
3507,stake
3509,punt
3510,crippled
3511,halt
3512,halting
3513,lame
3514,gimpy
3517,gamy
3518,gamey
3519,gritty
3520,mettlesome
3521,spirited
3522,spunky
3573,analogy
3575,doctrine_of_analogy
3627,Zanzibar_copal
3628,anime
3630,gum_anime
3761,music
3763,euphony
3767,medicine
3768,soundtrack
3769,dad
3770,dada
3771,daddy
3772,pa
3773,papa
3774,pappa
3775,pop
3777,soda
3778,soda_pop
3779,soda_water
3782,popping
3783,pop_music
3785,start
3786,protrude
3788,pop_out
3789,bulge
3790,bulge_out
3791,bug_out
3792,come_out
3797,crop_up
3798,pop_up
3803,toss_off
3805,bolt_down
3806,belt_down
3807,pour_down
3808,down
3809,drink_down
3810,kill
3814,popular
3817,enchantment
3818,spell
3819,trance
3821,capture
3822,enamour
3824,catch
3825,becharm
3826,enamor
3827,captivate
3828,beguile
3829,charm
3830,fascinate
3831,bewitch
3832,entrance
3833,enchant
3874,myth
3875,wine
3876,vino
3878,wine-colored
3879,wine-coloured
3882,spring
3883,springtime
3886,fountain
3887,outflow
3889,natural_spring
3891,give
3893,springiness
3894,leap
3895,leaping
3897,saltation
3898,bound
3899,bounce
3900,jump
3904,form
3905,take_form
3906,take_shape
3909,resile
3910,take_a_hop
3913,rebound
3914,recoil
3915,reverberate
3916,ricochet
3919,apparition
3920,phantom
3921,phantasm
3922,phantasma
3923,fantasm
3924,specter
3925,spectre
3926,ghost
3927,shade
3928,spook
3929,wraith
3932,autograph
3934,John_Hancock
3936,inscribe
3953,art
3954,fine_art
3956,artistic_creation
3957,artistic_production
3959,artistry
3960,prowess
3961,artwork
3963,graphics
3964,nontextual_matter
3965,comic_strip
3966,cartoon_strip
3967,strip
3968,funnies
3969,comedian
3970,comic
3981,television
3982,telecasting
3983,TV
3984,video
3985,television_receiver
3987,television_set
3988,tv
3989,tv_set
3990,idiot_box
3991,boob_tube
3992,telly
3993,goggle_box
4008,icon
4010,image
4012,ikon
4015,writer
4016,author
4024,Jordan
4025,Jordan_River
4027,Hashemite_Kingdom_of_Jordan
4032,transformer
4033,dawdler
4034,drone
4035,laggard
4036,lagger
4037,trailer
4038,poke
4039,preview
4040,prevue
4044,house_trailer
4046,extinction
4048,defunctness
4051,extermination
4053,experimental_extinction
4055,extinguishing
4056,quenching
4092,veteran
4093,veteran_soldier
4095,vet
4096,ex-serviceman
4098,old-timer
4099,oldtimer
4100,old_hand
4101,warhorse
4102,old_stager
4103,stager
4124,krypton
4125,Kr
4126,atomic_number_36
4127,car
4128,auto
4129,automobile
4130,machine
4131,motorcar
4133,railcar
4134,railway_car
4135,railroad_car
4137,gondola
4139,elevator_car
4140,cable_car
4142,motor
4144,drive
4146,centrifugal
4148,motive
4150,Disney
4151,Walt_Disney
4152,Walter_Elias_Disney
4153,contrivance
4154,stratagem
4155,dodge
4158,dodging
4159,scheme
4162,hedge
4163,fudge
4164,evade
4165,put_off
4166,circumvent
4167,parry
4168,elude
4169,skirt
4171,duck
4172,sidestep
4173,sport
4174,athletics
4177,summercater
4180,sportsman
4181,sportswoman
4182,mutant
4183,mutation
4184,variation
4186,fun
4187,play
4190,feature
4191,boast
4192,frolic
4193,lark
4194,rollick
4195,skylark
4196,disport
4198,cavort
4199,gambol
4200,frisk
4201,romp
4202,run_around
4203,lark_about
4219,use
4220,utilize
4221,utilise
4222,apply
4223,employ
4225,habituate
4227,expend
4229,practice
4233,used
4234,exploited
4235,ill-used
4236,put-upon
4238,victimized
4239,victimised
4240,secondhand
4242,Army_Intelligence
4243,AI
4244,artificial_intelligence
4246,three-toed_sloth
4247,ai
4248,Bradypus_tridactylus
4249,artificial_insemination
4280,swerve
4281,sheer
4282,curve
4283,trend
4284,veer
4285,slue
4286,slew
4287,cut
4288,breakage
4289,break
4290,breaking
4291,interrupt
4294,separate
4295,split_up
4296,fall_apart
4297,come_apart
4300,bust
4302,transgress
4303,offend
4304,infract
4305,violate
4306,go_against
4307,breach
4310,break_out
4311,break_away
4314,burst
4315,erupt
4317,break_off
4318,discontinue
4319,stop
4320,break_in
4327,better
4329,unwrap
4330,disclose
4331,let_on
4332,bring_out
4333,reveal
4334,discover
4335,expose
4336,divulge
4338,give_away
4339,let_out
4341,fail
4342,go_bad
4343,give_way
4344,die
4345,give_out
4346,conk_out
4347,go
4349,break_down
4354,dampen
4355,damp
4356,soften
4357,weaken
4369,part
4371,split
4373,break_up
4374,demote
4375,bump
4376,relegate
4378,kick_downstairs
4379,bankrupt
4380,ruin
4382,smash
4385,collapse
4386,fall_in
4387,cave_in
4391,founder
4392,break_dance
4393,break-dance
4401,wear
4402,wear_out
4407,snap_off
4411,get_out
4412,get_around
4413,pause
4414,intermit
4422,recrudesce
4423,develop
4424,crack
4425,check
4429,fracture
4433,news
4434,intelligence
4435,tidings
4436,word
4438,news_program
4439,news_show
4442,newsworthiness
4444,videodisk
4445,videodisc
4446,DVD
4447,discount
4448,price_reduction
4449,deduction
4450,discount_rate
4452,bank_discount
4453,rebate
4457,dismiss
4458,disregard
4459,brush_aside
4460,brush_off
4462,push_aside
4463,ignore
4465,exterminator
4466,terminator
4467,eradicator
4471,Simpson
4472,Mrs._Simpson
4473,Wallis_Warfield_Simpson
4474,Wallis_Warfield_Windsor
4475,Duchess_of_Windsor
4477,Sir_James_Young_Simpson
4502,redemption
4503,salvation
4517,Muse
4518,muse
4519,chew_over
4520,think_over
4521,meditate
4522,ponder
4523,excogitate
4524,contemplate
4526,reflect
4527,mull
4528,mull_over
4529,ruminate
4530,speculate
4541,action
4543,activity
4544,activeness
4545,military_action
4547,natural_process
4548,natural_action
4554,action_mechanism
4555,legal_action
4557,action_at_law
4561,sue
4562,litigate
4563,process
4564,carry_through
4565,accomplish
4566,execute
4567,carry_out
4569,fulfill
4570,fulfil
4615,dinnertime
4616,suppertime
4617,twitch
4618,twitching
4619,vellication
4621,jerk
4624,flip
4626,pinch
4627,squeeze
4628,twinge
4629,tweet
4630,nip
4633,amazon
4634,virago
4635,Amazon
4637,Amazon_River
4653,now
4655,nowadays
4657,today
4660,at_present
4661,immediately
4662,instantly
4663,straightaway
4664,straight_off
4665,directly
4667,right_away
4668,at_once
4669,forthwith
4670,like_a_shot
4673,overriding
4674,paramount
4675,predominant
4676,predominate
4677,preponderant
4678,preponderating
4711,dinosaur
4733,Spock
4734,Benjamin_Spock
4737,interior_decoration
4738,decor
4739,mural
4740,wall_painting
4742,wall
4745,paries
4750,rampart
4751,bulwark
4754,palisade
4755,fence
4756,fence_in
4800,amaze
4801,astonish
4802,astound
4803,perplex
4804,vex
4806,get
4807,puzzle
4808,mystify
4809,baffle
4810,beat
4811,pose
4812,bewilder
4813,flummox
4814,stupefy
4815,nonplus
4816,gravel
4818,dumbfound
4819,amazing
4820,astonishing
4822,awe-inspiring
4823,awesome
4824,awful
4825,awing
4826,love
4828,passion
4829,beloved
4830,dear
4831,dearest
4832,honey
4835,sexual_love
4836,erotic_love
4839,lovemaking
4840,making_love
4842,love_life
4845,enjoy
4847,sleep_together
4848,roll_in_the_hay
4850,make_out
4851,make_love
4852,sleep_with
4853,get_laid
4854,have_sex
4855,know
4856,do_it
4857,be_intimate
4858,have_intercourse
4859,have_it_away
4860,have_it_off
4861,screw
4862,fuck
4863,jazz
4864,eff
4865,hump
4866,lie_with
4867,bed
4868,have_a_go_at_it
4869,bang
4870,get_it_on
4871,bonk
4872,photography
4873,picture_taking
4876,France
4877,French_Republic
4879,Anatole_France
4880,Jacques_Anatole_Francois_Thibault
4881,canvas
4882,canvass
4887,canvas_tent
4890,sail
4893,sheet
4898,poll
4902,analyze
4903,analyse
4905,examine
4908,life
4910,living
4912,animation
4915,aliveness
4917,lifetime
4918,life-time
4919,lifespan
4923,liveliness
4925,spirit
4926,sprightliness
4929,biography
4931,life_story
4932,life_history
4934,life_sentence
4957,National_Aeronautics_and_Space_Administration
4958,NASA
4959,spacecraft
4960,ballistic_capsule
4961,space_vehicle
4978,Mars
4979,Red_Planet
4981,March
4982,Mar
4983,blemish
4984,defect
4985,mar
4987,impair
4988,spoil
4989,deflower
4990,vitiate
4991,mutilate
4993,boundary_line
4994,border
4995,borderline
4996,delimitation
4997,mete
4998,margin
5000,perimeter
5001,edge
5003,molding
5004,moulding
5008,environ
5009,ring
5014,frame
5015,frame_in
5020,adjoin
5022,abut
5023,march
5024,butt
5025,butt_against
5026,butt_on
5027,farmer
5028,husbandman
5029,granger
5030,sodbuster
5031,Farmer
5032,James_Leonard_Farmer
5034,Fannie_Farmer
5035,Fannie_Merritt_Farmer
5045,motivational
5046,poster
5047,posting
5048,placard
5049,notice
5050,bill
5051,card
5052,bill_poster
5054,bill_sticker
5055,post_horse
5056,post-horse
5058,arranger
5059,adapter
5060,transcriber
5062,adaptor
5084,lie
5085,prevarication
5086,Lie
5087,Trygve_Lie
5088,Trygve_Halvden_Lie
5092,dwell
5093,consist
5095,lie_in
5099,rest
5100,lie_down
5138,cocktail
5172,scene
5174,view
5175,aspect
5176,prospect
5178,vista
5179,panorama
5181,shot
5185,fit
5186,tantrum
5188,conniption
5191,setting
5193,scenery
5195,funny_story
5196,good_story
5197,funny_remark
5198,funny
5199,amusing
5201,comical
5203,laughable
5204,mirthful
5205,risible
5206,curious
5208,odd
5209,peculiar
5210,queer
5211,rum
5212,rummy
5213,singular
5214,fishy
5216,shady
5217,suspect
5218,suspicious
5220,Dorking
5250,gendarme
5251,pension
5253,pension_off
5254,English
5255,English_language
5257,English_people
5260,side
5263,General_Certificate_of_Secondary_Education
5264,GCSE
5265,O_level
5269,travel
5270,traveling
5271,travelling
5272,change_of_location
5274,locomotion
5278,move
5279,locomote
5281,journey
5283,trip
5284,jaunt
5289,move_around
5290,traveler
5291,traveller
6130,sketch
6133,vignette
6136,resume
6137,cartoon
6140,chalk_out
6142,outline
6143,adumbrate
6144,ink
6149,reproduce
6150,procreate
6151,multiply
6153,District_of_Columbia
6154,D.C.
6155,DC
6156,direct_current
6158,direct_electric_current
6173,animated_cartoon
6174,toon
6270,park
6271,commons
6272,common
6273,green
6277,mutual
6279,usual
6281,vernacular
6282,vulgar
6284,plebeian
6286,unwashed
6287,coarse
6291,rough-cut
6292,uncouth
6295,extraordinary
6297,over-the-top
6298,sinful
6300,internet
6301,net
6302,cyberspace
6303,Iwo
6304,Iwo_Jima
6305,invasion_of_Iwo
6306,raven
6307,Corvus_corax
6310,prey
6311,predate
6312,devour
6313,guttle
6315,pig
6317,Canada
6318,rear
6319,raise
6320,bring_up
6321,nurture
6322,parent
6323,Proverbs
6324,Book_of_Proverbs
6325,proverb
6326,adage
6327,saw
6328,byword
6329,oca
6330,oka
6331,Oxalis_tuberosa
6332,Oxalis_crenata
6341,food
6342,nutrient
6344,solid_food
6346,food_for_thought
6347,intellectual_nourishment
6348,Texas
6349,Lone-Star_State
6350,TX
6351,guitar
6352,ampere
6353,amp
6354,A
6355,adenosine_monophosphate
6356,AMP
6357,adenylic_acid
6358,history
6360,account
6361,chronicle
6362,story
6366,cinematic
6372,vitality
6374,spiritedness
6375,invigoration
6376,brio
6377,vivification
6384,dog
6385,domestic_dog
6386,Canis_familiaris
6387,frump
6390,cad
6391,bounder
6392,blackguard
6394,hound
6395,heel
6396,frank
6397,frankfurter
6398,hotdog
6399,hot_dog
6401,wiener
6402,wienerwurst
6403,weenie
6404,pawl
6405,detent
6406,click
6408,andiron
6409,firedog
6411,dog-iron
6412,chase
6413,chase_after
6414,trail
6415,tail
6416,tag
6417,give_chase
6419,go_after
6420,track
6421,chirrup
6422,twitter
6423,chitter
6425,Colorado
6426,Centennial_State
6427,CO
6429,Colorado_River
6432,regulation
6433,ordinance
6434,rule
6439,regularization
6440,regularisation
6442,regulating
6444,roughrider
6445,yip
6446,yelp
6447,yelping
6450,yap
6451,magazine
6452,mag
6455,magazine_publisher
6457,cartridge
6459,powder_store
6460,powder_magazine
6461,cartridge_holder
6462,cartridge_clip
6463,clip
6486,Chinese
6489,Taiwanese
6491,Formosan
6492,Western
6493,horse_opera
6494,western
6495,western_sandwich
6499,westerly
6501,classics
6502,classic
6559,ma
6560,mama
6561,mamma
6562,mom
6563,momma
6564,mommy
6565,mammy
6566,mum
6567,mummy
6568,flint
6569,Flint
6570,Flint_River
6572,flinty
6574,granitic
6575,obdurate
6576,stony
6581,water
6582,H2O
6583,body_of_water
6586,water_system
6587,water_supply
6589,urine
6590,piss
6591,pee
6592,piddle
6593,weewee
6597,irrigate
6601,family
6602,household
6603,house
6604,home
6605,menage
6607,family_unit
6608,class
6609,category
6612,family_line
6613,folk
6614,kinfolk
6615,kinsfolk
6616,sept
6617,phratry
6618,kin
6619,kinsperson
6622,syndicate
6623,crime_syndicate
6624,mob
6627,fellowship
6628,memory
6630,remembering
6632,retention
6633,retentiveness
6634,retentivity
6636,computer_memory
6637,storage
6638,computer_storage
6639,store
6640,memory_board
6642,sodium
6643,Na
6644,atomic_number_11
6653,deal
6654,trade
6655,business_deal
6656,bargain
6658,batch
6660,flock
6661,good_deal
6662,great_deal
6663,hatful
6664,heap
6665,lot
6666,mass
6667,mess
6668,mickle
6670,mountain
6671,muckle
6672,passel
6673,peck
6674,pile
6675,plenty
6676,pot
6677,quite_a_little
6678,raft
6679,sight
6681,spate
6682,stack
6683,tidy_sum
6684,wad
6686,softwood
6688,hand
6693,cover
6694,treat
6695,handle
6696,plow
6698,address
6699,consider
6702,look_at
6704,cope
6705,get_by
6707,make_do
6708,contend
6709,grapple
6711,manage
6712,distribute
6713,administer
6714,mete_out
6716,parcel_out
6718,dispense
6719,shell_out
6720,deal_out
6721,dish_out
6722,allot
6723,dole_out
6725,sell
6729,care
6733,conduct
6734,carry_on
6736,share
6737,divvy_up
6738,portion_out
6739,apportion
6743,meow
6744,mew
6745,miaou
6746,miaow
6747,miaul
6750,Bristol
6751,download
6752,available
6754,uncommitted
6756,usable
6757,useable
6758,dawn
6759,dawning
6760,morning
6761,aurora
6762,first_light
6763,daybreak
6764,break_of_day
6765,break_of_the_day
6766,dayspring
6767,sunrise
6768,sunup
6769,cockcrow
6771,Aurora
6775,Disneyland
6776,rat
6777,scab
6778,strikebreaker
6779,blackleg
6781,rotter
6782,dirty_dog
6784,skunk
6785,stinker
6786,stinkpot
6787,bum
6788,puke
6789,crumb
6790,lowlife
6791,scum_bag
6792,so-and-so
6793,git
6794,informer
6795,betrayer
6797,squealer
6798,blabber
6802,fink
6808,denounce
6809,tell_on
6810,betray
6813,grass
6815,shop
6816,snitch
6817,stag
6818,ginger
6820,powdered_ginger
6822,gingerroot
6823,pep
6824,peppiness
6828,gingery
6829,shopping
6832,patronize
6833,patronise
6835,shop_at
6836,buy_at
6837,frequent
6838,sponsor
6840,browse
6851,maleficent
6855,makeup
6856,make-up
6857,war_paint
6860,constitution
6861,composition
6862,physical_composition
6865,fairytale
6866,fairy_tale
6867,fairy_story
6871,cock-and-bull_story
6872,song_and_dance
6874,Aragon
6875,Louis_Aragon
6877,Spain
6878,Kingdom_of_Spain
6879,Espana
6890,Japan
6891,Japanese_Islands
6892,Japanese_Archipelago
6894,Nippon
6895,Nihon
6896,japan
6899,samurai
6911,Domingo
6912,Placido_Domingo
6921,trump
6922,trump_card
6924,cornet
6925,horn
6926,trumpet
6929,outdo
6930,outflank
6932,best
6933,scoop
6935,ruff
6937,trump_out
6938,Democrat
6939,democrat
6940,populist
6941,electronic
6943,dance
6945,dancing
6947,terpsichore
6952,trip_the_light_fantastic
6953,trip_the_light_fantastic_toe
6962,extremist
6963,radical
6964,ultra
7017,Idaho
7018,Gem_State
7019,ID
7021,I.D.
7022,id
7061,revival
7062,resurgence
7063,revitalization
7064,revitalisation
7065,revivification
7066,foreigner
7067,alien
7068,noncitizen
7069,outlander
7070,stranger
7072,unknown
7073,extraterrestrial_being
7074,extraterrestrial
7077,alienate
7078,estrange
7081,disaffect
7082,disclosure
7083,revelation
7084,revealing
7104,bumblebee
7105,humblebee
7112,dragon
7113,firedrake
7115,tartar
7116,Draco
7117,Dragon
7119,flying_dragon
7120,flying_lizard
7192,autism
7193,interstellar
7199,science
7200,scientific_discipline
7201,skill
7212,master
7213,master_copy
7214,original
7216,archetype
7217,pilot
7222,abstraction
7223,abstract
7225,synopsis
7227,precis
7229,pilfer
7230,cabbage
7231,purloin
7234,snarf
7235,swipe
7236,hook
7237,sneak
7238,filch
7239,nobble
7240,lift
7245,abstractionist
7246,nonfigurative
7247,nonobjective
7327,samarium
7328,Sm
7329,atomic_number_62
7330,Master_of_Science
7331,MS
7332,SM
7333,MSc
7334,trading
7336,merchandise
7338,trade_in
7341,swap
7342,swop
7343,switch
7347,alert
7348,qui_vive
7350,alerting
7351,alarm
7353,warning_signal
7354,alarum
7358,watchful
7361,lively
7362,merry
7363,rattling
7364,snappy
7365,spanking
7366,zippy
7368,alive
7369,awake
7428,hype
7461,April
7462,Apr
7490,accomplishment
7491,achievement
7592,populate
7594,live
7595,inhabit
7597,survive
7598,last
7600,live_on
7602,endure
7603,hold_up
7604,hold_out
7605,exist
7608,subsist
7609,be
7612,experience
7616,unrecorded
7622,bouncy
7625,resilient
7626,springy
7630,hot
7939,bullet
7940,slug
7941,bullet_train
7943,fastball
7944,heater
7945,smoke
7946,hummer
7948,harvester
7949,reaper
7950,Grim_Reaper
7951,Reaper
7954,polonium
7955,Po
7956,atomic_number_84
7957,petty_officer
7958,PO
7959,P.O.
7961,Po_River
7962,United_States_Post_Office
7963,US_Post_Office
7964,Post_Office
7970,stage
7971,present
7972,represent
7974,arrange
7986,spy
7988,snoop
7989,sleuth
7990,staged
7991,arranged
8013,ad
8014,advertisement
8015,advertizement
8016,advertising
8017,advertizing
8018,advert
8019,AD
8020,A.D.
8021,anno_Domini
8022,Paddy
8023,Mick
8024,Mickey
8025,digital
8028,archaeological
8029,archeological
8030,archaeologic
8031,archeologic
8032,giveaway
8034,game_show
8188,poem
8189,verse_form
8190,creative
8191,originative
8203,lease
8204,rental
8205,letting
8207,renting
8229,mythic
8230,fabulous
8232,mythical
8233,mythologic
8234,mythological
8235,keep
8236,donjon
8237,dungeon
8314,automaton
8315,robot
8316,golem
8322,interruption
8323,disruption
8324,gap
8325,disturbance
8327,commotion
8328,flutter
8329,hurly_burly
8330,to-do
8331,hoo-ha
8332,hoo-hah
8333,kerfuffle
8334,dislocation
8337,perturbation
8364,plaything
8365,toy
8368,miniature
8370,toy_dog
8377,fiddle
8378,diddle
8382,smasher
8383,stunner
8384,knockout
8385,beauty
8386,ravisher
8387,sweetheart
8388,peach
8389,lulu
8390,looker
8391,mantrap
8392,dish
8394,KO
8395,kayo
8396,hard
8398,severe
8470,Saturday
8471,Sabbatum
8472,Sat
8473,sit
8474,sit_down
8476,sit_around
8480,model
8483,posture
8484,ride
8487,baby-sit
8489,seat
8505,magic
8506,thaumaturgy
8507,magic_trick
8508,conjuring_trick
8509,trick
8511,legerdemain
8512,conjuration
8515,deception
8516,charming
8518,magical
8519,sorcerous
8520,witching
8521,wizard
8522,wizardly
8679,Boston
8680,Hub_of_the_Universe
8681,Bean_Town
8682,Beantown
8683,capital_of_Massachusetts
8684,eclectic
8685,eclecticist
8687,Broadway
8688,Great_White_Way
8689,theater
8690,theatre
8692,dramaturgy
8693,dramatic_art
8694,dramatics
8697,field
8698,field_of_operations
8700,theater_of_operations
8702,theatre_of_operations
8707,matrix
8711,intercellular_substance
8712,ground_substance
8715,freeze
8716,stop_dead
8721,suspend
8724,freeze_out
8725,freeze_down
8727,block
8728,immobilize
8729,immobilise
8732,frozen
8734,rooted
8735,stock-still
8736,frigid
8737,frosty
8739,glacial
8740,icy
8741,wintry
8743,flash-frozen
8744,quick-frozen
8747,fixed
8752,photograph
8753,photo
8754,exposure
8791,anna
8792,Aether
8793,ether
8794,aether
8798,Thor
8825,huge
8826,immense
8827,vast
8828,Brobdingnagian
8829,extrasensory
8830,paranormal
8832,artist
8833,creative_person
8887,abomination
8888,abhorrence
8890,detestation
8891,execration
8892,loathing
8893,odium
8895,God
8896,Supreme_Being
8897,deity
8898,divinity
8899,god
8900,immortal
8902,idol
8903,graven_image
8905,Eden
8906,paradise
8907,nirvana
8908,heaven
8909,promised_land
8910,Shangri-la
8911,Heaven
8933,giant
8934,hulk
8935,heavyweight
8936,whale
8938,loom
8939,tower
8947,alligator
8948,gator
8955,gamecock
8956,fighting_cock
8957,hell-kite
8958,hell-rooster
8960,Cannes
8963,thriller
8964,killer
8965,slayer
8966,cause_of_death
8969,killer_whale
8971,orca
8972,grampus
8973,sea_wolf
8974,Orcinus_orca
8975,detective
8976,investigator
8977,tec
8978,police_detective
8980,dark
8981,darkness
8982,iniquity
8983,wickedness
8988,shadow
8989,night
8990,nighttime
8997,black
8999,sinister
9002,dour
9003,glowering
9004,glum
9005,moody
9006,morose
9007,saturnine
9008,sour
9009,sullen
9010,benighted
9013,obscure
9014,blue
9016,dingy
9017,disconsolate
9018,dismal
9019,gloomy
9020,grim
9021,sorry
9022,drab
9023,drear
9024,dreary
9025,colored
9026,coloured
9028,dark-skinned
9029,non-white
9031,sexual
9033,intimate
9042,mystery
9043,enigma
9044,secret
9045,closed_book
9047,mystery_story
9048,whodunit
9049,solo
9055,alone
9057,unaccompanied
9323,universe
9324,existence
9325,creation
9326,world
9327,cosmos
9328,macrocosm
9330,domain
9332,reality
9333,Earth
9334,earth
9336,globe
9337,populace
9338,public
9341,worldly_concern
9342,earthly_concern
9346,human_race
9347,humanity
9348,humankind
9349,human_beings
9350,humans
9351,mankind
9352,man
9353,global
9354,planetary
9356,worldwide
9357,world-wide
9394,parkland
